q,n,r,sd,ratio
highenergy,10317,-0.028707781358683224,0.00987860616807089,2.9060558615517036
"""I am ashamed or embarrassed about at least some of what arouses me"" (",10567,0.027829046908645887,0.009387120560871508,2.96459885948905
animated,10013,0.026769409710352046,0.010020960990996202,2.671341574366397
"""I sometimes find people who have clearly reached sexual maturity, but",10566,0.02230727747141256,0.009332762814377582,2.3902115499010748
"""If my partner is aroused by something, I can also be aroused by it, e",10567,-0.017803643614538338,0.010790822649276425,1.6498875195332912
"""I find the thought of existing (in *nonsexual* situations) as a biolo",8769,0.01730311607685767,0.010444527744315096,1.6566681137187527
inducefetish,9963,-0.01491437747885009,0.009210661652579824,1.6192514763228445
"""Engaging with or fantasizing about what arouses me feels therapeutic ",10565,0.012784829221409172,0.009714423275420174,1.3160667245947437
knowwhatarousesyou,10567,-0.010664328189395928,0.009950027585201825,1.0717888064206422
biomale,10567,0.010112839212642328,0.009137076498015116,1.1067915667379145
"""I find it erotic when two people of the opposite gender to me sexuall",10563,-0.00998789471577206,0.009764391235580198,1.0228896481920393
"""I've acted upon or experimented with all the things that arouse me"" (",10566,0.009317096756155505,0.010132228413189571,0.9195506038954893
"""I can get aroused by a partner doing what I like, even if I know they",10566,0.009164077232722634,0.009324168891645416,0.9828304634136104
written,10011,0.00702577919999125,0.010348550350328809,0.6789143369987098
"""I am aroused by being dominant in sexual interactions"" (6w3xquw)",10170,-0.005584520207089396,0.009906172320537539,0.5637414761614365
"""I find the thought of existing (in *nonsexual* situations) as a biolo",8769,0.003415183705395316,0.009840225636694226,0.347063556414813
"""I am aroused by being submissive in sexual interactions"" (xem7hbu)",10169,0.002558889008446829,0.010598325593747389,0.2414427624262154
allrollidentity,7604,0.0023884175179959537,0.011153326718541572,0.21414395706936373
"""I find the thought of masturbating alone as a biological male, to be ",8769,-0.0019087080490892323,0.010269123620527353,0.1858686407546834
"""I find the thought of masturbating alone as a biological female, to b",8769,-0.0006540652157937713,0.009145154239970662,0.07152041383130019
