q,n,a_S,c_C,b_Cres,sd_c,verdict
biomale,6717,0.04231269846772255,0.07692705662478634,0.059367214968423496,0.012569581997016363,GENUINE
animated,6479,0.1020320642920855,-0.08615388381661886,-0.12587128980928503,0.012705322212840583,GENUINE
written,6478,0.01651489849305287,-0.05914326784665457,-0.06511571122171873,0.012212890664511573,GENUINE
"""I am ashamed or embarrassed about at least some of what aro",6717,0.11549278197697291,0.023092750305281445,-0.022996593449823955,0.012124676223704814,—
"""Engaging with or fantasizing about what arouses me feels th",6715,0.007489549347614251,-0.005713046552840297,-0.008631560119526146,0.011640680558846084,—
"""I can get aroused by a partner doing what I like, even if I",6716,0.029492001119454055,0.02311812736045002,0.011179214047777145,0.012298882725097786,—
"""I've acted upon or experimented with all the things that ar",6716,0.03027842854161044,0.02128600532567229,0.009052825482866242,0.013377117161249617,—
"""I sometimes find people who have clearly reached sexual mat",6716,0.10023581944839717,-0.00636565412635888,-0.046107197623861215,0.012632339270121862,ALGEBRA
allrollidentity,4910,0.025577358469410987,-0.04225618029226818,-0.05169986014857749,0.014166906259286427,GENUINE
"""I find it erotic when two people of the opposite gender to ",6713,0.019935232828875774,0.03404454697095248,0.02579421905221132,0.013477063480625688,—
knowwhatarousesyou,6717,0.03506257101424103,0.04405898304300521,0.029701829083861722,0.0109279078332185,—
highenergy,6579,-0.057212816561879,-0.023361718829784127,-0.0003988624399615032,0.013439773052431143,—
"""I find the thought of existing (in *nonsexual* situations) ",5654,0.05024545850501933,-0.028324418250422905,-0.04810135417501735,0.012822630498039481,ALGEBRA
"""I find the thought of existing (in *nonsexual* situations) ",5654,0.055468754626655514,0.01275609633934508,-0.00960301990349765,0.012917534765584432,—
inducefetish,6508,0.05972795052140782,0.020388767966933306,-0.0034887288258309912,0.012133631940417281,—
"""I find the thought of masturbating alone as a biological fe",5654,-0.03935725829954115,-0.015781861466816732,0.00016326763337103442,0.012997806168601043,—
"""I find the thought of masturbating alone as a biological ma",5654,0.007345622587871926,-0.0400696468142219,-0.04253145294348467,0.01417828065465197,GENUINE
"""If my partner is aroused by something, I can also be arouse",6717,-0.03518972764837432,0.028693867739779,0.0423850604048035,0.012284831101468694,ALGEBRA
"""I am aroused by being dominant in sexual interactions"" (6w3",6458,-0.059101897331697954,-0.015582667561439566,0.00807553180212561,0.012527686655133602,—
"""I am aroused by being submissive in sexual interactions"" (x",6457,0.0070272907834778905,-0.047562662636645166,-0.049914867084038375,0.013038592372999125,GENUINE
【负对照】纯 S 驱动的合成题,6717,0.48522554311909954,0.0781406778055935,-0.1153108373821956,0.013073818310858016,ALGEBRA
