q,n,r_S,r_C,r_C_given_S,sd,ratio
"""I am ashamed or embarrassed about at least some of what arouses m",6717,0.11549278197697291,-0.022996593449823955,0.0028757448449149773,0.01281666909333718,0.22437536804394445
animated,6479,0.1020320642920855,-0.12587128980928503,-0.10628188246278232,0.01225605163762681,8.671788077041924
"""I sometimes find people who have clearly reached sexual maturity,",6716,0.10023581944839717,-0.046107197623861215,-0.02447109126130936,0.011538380957915753,2.12084272053102
inducefetish,6508,0.05972795052140782,-0.0034887288258309912,0.010236040739930572,0.012773814697391531,0.8013299850060308
"""I am aroused by being dominant in sexual interactions"" (6w3xquw)",6458,-0.059101897331697954,0.00807553180212561,-0.005210498030119745,0.01177179423188625,0.44262564631023477
highenergy,6579,-0.057212816561879,-0.0003988624399615032,-0.0136329091271783,0.013945485773581769,0.9775858187030234
"""I find the thought of existing (in *nonsexual* situations) as a b",5654,0.055468754626655514,-0.00960301990349765,0.0032381509747267966,0.014530361120902594,0.22285412921145967
"""I find the thought of existing (in *nonsexual* situations) as a b",5654,0.05024545850501933,-0.04810135417501735,-0.03760541410482288,0.014351976474532914,2.6202254561629466
biomale,6717,0.04231269846772255,0.059367214968423496,0.07065711506984107,0.012427034776836987,5.685758214947652
"""I find the thought of masturbating alone as a biological female, ",5654,-0.03935725829954115,0.00016326763337103442,-0.009134548161386629,0.013714804475198208,0.6660356097606427
"""If my partner is aroused by something, I can also be aroused by i",6717,-0.03518972764837432,0.0423850604048035,0.03544560080795705,0.012523809295499743,2.8302571503299667
knowwhatarousesyou,6717,0.03506257101424103,0.029701829083861722,0.03852388975268497,0.012797672845151877,3.010226173056058
"""I've acted upon or experimented with all the things that arouse m",6716,0.03027842854161044,0.009052825482866242,0.016227951131449623,0.0136955552481294,1.184906404847376
"""I can get aroused by a partner doing what I like, even if I know ",6716,0.029492001119454055,0.011179214047777145,0.018229783555507858,0.013473861251122876,1.352973970545276
allrollidentity,4910,0.025577358469410987,-0.05169986014857749,-0.04704280988428886,0.012715791403897232,3.699558162763729
"""I find it erotic when two people of the opposite gender to me sex",6713,0.019935232828875774,0.02579421905221132,0.031031352865817218,0.012444371621515755,2.4936054474751796
written,6478,0.01651489849305287,-0.06511571122171873,-0.06302659932059722,0.012994707044460001,4.850174698433635
"""Engaging with or fantasizing about what arouses me feels therapeu",6715,0.007489549347614251,-0.008631560119526146,-0.007141960456632716,0.01276892429728281,0.5593235804642137
"""I find the thought of masturbating alone as a biological male, to",5654,0.007345622587871926,-0.04253145294348467,-0.04196781277836492,0.01301312730966879,3.2250366710224005
"""I am aroused by being submissive in sexual interactions"" (xem7hbu",6457,0.0070272907834778905,-0.049914867084038375,-0.049594406105021485,0.013006440572927921,3.8130652138794288
