token,readme_line,ledger_qualifier
3.1×,| **And the remaining preferences are pulled toward whichever came first** | displacement ,"位置比内容高 0.335,是自身展布的 **3.1×**;预注册的 0.60 也在噪声带外(3.1×)。"
+0.0339,| **And the remaining preferences are pulled toward whichever came first** | displacement ,"| 118a | **加强成功,`#117c` 按 3.1× 引用** | 位移 **+0.0339,3.1× 自身展布**,零是效应的 6%,46/68 对为正 |"
10%,"| ""The earlier something enters the map, the more central it is"" | **Withdrawn, 10% remain","| sex | 0.083 – 0.102 | stable, ±10% |"
-0.030,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0","| 102b | **`#101d`'s onset link** | **DOWNGRADED to `UNVERIFIED`.** At −0.0302 against a matched null of −0.0275 with overlapping bootstrap intervals, the effect and its own contro"
91%,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0","于是我给它加了第二条通路(传 `null_spread`,若 |零| < 2×自身展布也算过)。**然后回放五个历史案例,发现这个口子让 `#102a` 那个 91% 的同号零通过了** —— 而那正是这个库存在的起因。"
-0.028,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0","| 9 | **""Unit acquisition of a coordinate""** — my own hypothesis from `r26`, that categories sharing a GCCA coordinate were acquired together | `r27`. With preference similarity co"
0.3×,| Distinguish memory becoming blurry from a story becoming settled | Real curvature **0.3×,"| 120a | **机制分不开 —— 能力边界,不是零** | **真实曲率是 0.3× 自身展布**,根本没通过可分辨性。要把它推到 2×,需要**约 48 倍样本量** |"
48×,| Distinguish memory becoming blurry from a story becoming settled | Real curvature **0.3×,"| 120a | **机制分不开 —— 能力边界,不是零** | **真实曲率是 0.3× 自身展布**,根本没通过可分辨性。要把它推到 2×,需要**约 48 倍样本量** |"
2×,| Distinguish memory becoming blurry from a story becoming settled | Real curvature **0.3×,| plant | achieved per-carrier shift | p95 real−null | 2× spread |
0.88%,**[R07 · breadth](A07_breadth)** — Quantity without shape. A person's set is **0.88%** mor,on breadth being **quantity without shape**: a person's set is only **0.88% more concentrated** in
3.6×,and sex — 3.6× the neuroticism reference). Direction is unavailable; this is exactly what ,"| 19 | **""Consumption reorganises the grammar at 0.0439, 3.6× the neuroticism reference""** and **""modality is typical, ranking 6th of 9, matched deficit 0.0334""** — reported two ro"
+0.017,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**.",| 含该对评分列 | +0.0171 ± 0.0026 |
+0.24,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**.","| 12 | **""Self-reported porn-induced fetish acquisition has no structural signature""** (`r37`–`r38`, misfit rho +0.038, extremity +0.020, both null with stated MDEs) | `r39`, my ow"
