q,shame,ident,gap
"""I am aroused by being dominant in sexual interactions",-0.03870293777075849,0.1051644357539946,-0.1438673735247531
animated,0.10866146211370734,-0.023934562709726406,0.13259602482343374
inducefetish,0.13507129071653698,0.03272544103238732,0.10234584968414966
"""I sometimes find people who have clearly reached sexu",0.10600907282368431,0.012836123320199485,0.09317294950348483
"""I've acted upon or experimented with all the things t",-0.04551012517609628,0.029832949158493584,-0.07534307433458987
"""Engaging with or fantasizing about what arouses me fe",-0.029771574446518713,0.03134294995243329,-0.061114524398952
written,0.037708242496424973,-0.020142461670432734,0.05785070416685771
"""If my partner is aroused by something, I can also be ",0.021622315072192113,0.07752804834383474,-0.055905733271642624
"""I am aroused by being submissive in sexual interactio",0.08675235640494265,0.03760718331554154,0.04914517308940111
"""I find the thought of existing (in *nonsexual* situat",-0.0234240082955649,0.01515740577243366,-0.03858141406799856
"""I find it erotic when two people of the opposite gend",0.07098270796896883,0.036313719890295464,0.034668988078673364
knowwhatarousesyou,-0.023842882015067624,0.006915309287313545,-0.03075819130238117
"""I find the thought of masturbating alone as a biologi",0.01467029239639058,0.04087680511035232,-0.026206512713961738
"""I find the thought of existing (in *nonsexual* situat",0.002640734694559983,0.02659374892331003,-0.02395301422875005
"""I find the thought of masturbating alone as a biologi",0.026856956037933644,0.04226614194488737,-0.015409185906953726
highenergy,-0.01163056840943828,-0.024991975824387957,0.013361407414949678
"""I can get aroused by a partner doing what I like, eve",0.0122854673952647,0.01587742244094503,-0.0035919550456803284
biomale,0.029477841910190233,0.02589473924059983,0.0035831026695904017
