qi,k,n_self,n_other,role_var,col,n,d_power,d_both
8,10,4,4,0.8,"For saliva, which of the following do you find",927,0.0199543231826156,0.0207162050666641
7,10,4,4,0.8,"For precum, which of the following do you find",831,0.0072082587218768,0.0147068541049505
9,10,4,4,0.8,"For squirt, which of the following do you find",1384,0.0038689262951859,0.0043866471942524
83,10,4,4,0.8,"For male ejaculate, which of the following do ",980,0.0146696803458405,0.0136645741638544
1,20,0,0,0.0,Which of the following sex acts do you find si,5881,0.0026163162274972,0.0039022045064088
13,19,0,0,0.0,Which of the following do you find to be eroti,4126,0.0001562644035822,0.0001785331935234
19,19,0,1,0.0,Which of the following do you find erotic? (88,2146,3.5939676369944884e-05,-0.0011282259347965
20,10,0,0,0.0,Which of the following do you find erotic? (vq,2094,-0.0015727084494334,-0.0038629254312453
29,22,0,0,0.0,Which of the following roles are erotic?,2922,0.0023012813220627,0.0016491599135312
36,24,0,0,0.0,Which of the following sensations do you find ,1547,-0.0016941916889716,-0.0013879736689694
39,12,0,0,0.0,Which of the following categories of transform,901,0.0002778646212688,-0.0033693379510784
4,14,0,0,0.0,Which of the following bodily secretions do yo,1621,0.0044797148631295,0.003168741981227
42,18,0,0,0.0,For Which of the following categories of abnor,851,0.0048715022823051,0.0044841447023712
48,10,0,0,0.0,Which of the following types of mental alterat,1679,0.0006011562183094,0.0012584898897634
55,17,0,0,0.0,Which of the following types of sadomasochism ,2920,-0.0002718883066992,-0.000474171597383
53,22,0,1,0.0,Which of the following do you find erotic? (ym,1520,0.0001217619548867,0.0004857677460508
63,18,0,0,0.0,Which of the following do you find erotic? (46,2469,0.0018780549713451,0.0019383392274223
67,16,0,0,0.0,Which of the following nonconsent scenarios do,3040,-0.0006717344723117,-0.000830018411387
73,20,1,0,0.0,Which of the following do you find erotic? (np,1210,0.0005031992645672,-0.0024292175722567
62,21,0,1,0.0,"Which of the following do you find erotic, in ",2032,0.0047948988174739,0.005367102002466
77,21,0,0,0.0,Which of the following do you find erotic? (lf,2504,-8.739566508342289e-05,9.294059122222365e-05
79,11,0,1,0.0,Which of the following body modifications do y,4091,0.0004504543930645,0.0015021015961929
81,19,0,1,0.0,Which of the following do you find erotic? (32,984,0.0006219392289541,0.0009803164735198
85,22,0,1,0.0,Which of the following do you find erotic? (yf,1088,-0.0001905944206479,-0.0019167554451512
90,10,0,0,0.0,Which of the following do you find erotic? (u6,1435,0.0036072795293083,0.0026287557101167
92,18,0,0,0.0,Which of the following do you find erotic? (fn,1704,0.0027682169443672,0.0021917497975698
93,21,0,0,0.0,Which of the following do you find erotic? (g5,1576,0.0005206144408549,-0.0004526975393108
96,19,0,1,0.0,Which of the following do you find erotic? (3h,1383,0.006470599710999,0.0050952530095702
