q,n,r,sd,ratio
"""I am ashamed or embarrassed about at least some of what arouses me"" (",6717,0.11549278197697291,0.012120513465507562,9.528703738966268
animated,6479,0.1020320642920855,0.012531072487408743,8.142324960182586
"""I sometimes find people who have clearly reached sexual maturity, but",6716,0.10023581944839717,0.012197527058503832,8.217716506602466
inducefetish,6508,0.05972795052140782,0.012644082118298396,4.723786982921449
"""I am aroused by being dominant in sexual interactions"" (6w3xquw)",6458,-0.059101897331697954,0.01160690953801636,5.091958125297715
highenergy,6579,-0.057212816561879,0.012141215874940844,4.7122806439810345
"""I find the thought of existing (in *nonsexual* situations) as a biolo",5654,0.055468754626655514,0.013648916098762745,4.0639677337956295
"""I find the thought of existing (in *nonsexual* situations) as a biolo",5654,0.05024545850501933,0.012199902537857082,4.118513106896096
biomale,6717,0.04231269846772255,0.011930529303961612,3.546590213199706
"""I find the thought of masturbating alone as a biological female, to b",5654,-0.03935725829954115,0.012791059573937396,3.076934953827757
"""If my partner is aroused by something, I can also be aroused by it, e",6717,-0.03518972764837432,0.011139981289601818,3.1588677515303187
knowwhatarousesyou,6717,0.03506257101424103,0.011462730581860155,3.0588323405007687
"""I've acted upon or experimented with all the things that arouse me"" (",6716,0.03027842854161044,0.012432250747548727,2.4354744089746143
"""I can get aroused by a partner doing what I like, even if I know they",6716,0.029492001119454055,0.011788680917826108,2.501721891111506
allrollidentity,4910,0.025577358469410987,0.013809123046310495,1.8522072968453065
"""I find it erotic when two people of the opposite gender to me sexuall",6713,0.019935232828875774,0.012502049726375936,1.5945571538415686
written,6478,0.01651489849305287,0.012582194976283283,1.312561005784961
"""Engaging with or fantasizing about what arouses me feels therapeutic ",6715,0.007489549347614251,0.012138966265103385,0.6169841141370421
"""I find the thought of masturbating alone as a biological male, to be ",5654,0.007345622587871926,0.013038039417482704,0.5633993235226903
"""I am aroused by being submissive in sexual interactions"" (xem7hbu)",6457,0.0070272907834778905,0.013937707167933439,0.5041927412311845
