file,line,n_mag,cites,any_cite_has_precision,text,line_has_precision,withdrawn
README.md,35,1,"161,159,160,161",True,"| **The ""what"" of a sexual preference is personal. The ""when"" is not.** | Same people, same split procedure, s",True,False
README.md,36,3,"75,63",True,"| **Sexual interests arrive on a shared developmental schedule — concrete first, relational 2–3 years later** ",True,False
README.md,37,1,"157,157,88,90",True,| **Content and individualised valuation move endorsement probability by the same amount** | option base rate ,True,False
README.md,40,14,"167,163,164,165,100,104,165",True,"| **It is a reliable personality dimension, and it is not ""how many boxes you ticked""** | Split-half across di",True,False
README.md,41,4,"114,128,130",True,| **A person's own uncommon interests sit ahead of their own common ones** | After removing the population-sha,True,False
README.md,42,4,"139,138,139",False,"| **The map's strongest psychologically-anchored dividing line is not ""early vs late"" — it is ""objects vs scen",True,False
README.md,43,4,137,False,"| **Sex anchors ""the sexual"" itself, not one family within it** | early family +0.0706 vs late family +0.0816,",True,False
README.md,45,11,"75,135,136",True,| **What arrives early is scattered; what arrives late is a set** | Three blocks against a within-person permu,True,False
README.md,46,4,"114,133,134",True,"| **For a third of people the map closed at 17; for the rest it opens outward** | In the 29–32 band, **33.3% r",True,False
README.md,47,2,132,True,"| **The sexual map is largely fixed by the end of adolescence** | Among 29–32 year olds, **68.4% of their own ",False,False
README.md,48,15,"147,146,148,152,148,159,149,100,130,131",True,| **At the population level the map really does start from what everyone has** | The batch of interests a pers,True,False
README.md,49,11,"114,150,151,128,129,130,150,151",True,"| **The rarer a person's eventual taste, the larger that head start** | −0.0459; **after 1:1 caliper matching ",True,False
README.md,50,3,"154,101,102,154",False,"| **Its only external anchor that holds is sex** | +0.093 (disattenuated +0.141). All Big Five \|r\| ≤ 0.056, ",True,False
README.md,51,3,"153,162,114,162",True,| **People remember their most-loved sexual interests as arriving about nine months earlier** | −0.2000 years ,True,False
README.md,52,2,119,True,"| **And that memory distortion deepens with time, nearly doubling over fifteen years** | the 15-year-old band ",True,False
README.md,53,1,"107,110,116,117",True,"| **Among interests of the same kind, which one came first predicts your whole remaining preference profile** ",True,False
README.md,54,1,"118,142",True,"| **And the remaining preferences are pulled toward whichever came first** | displacement **+0.0339, 3.1×**, p",True,False
README.md,55,5,"141,143",True,"| ~~**""Top/bottom"" is one word over three near-unrelated things**~~ **downgraded to: the three role axes are s",False,False
