token,file,line_no,cites_backtick_only,cites_any,has_any,line
-0.126,README.md,116,False,16,True,"(−0.126 — **[VERIFICATION — see RETRACTIONS #16]**, published as `01-age-onset` Finding 1) and recal"
0.88%,README.md,129,False,,False,**[R07 · breadth](A07_breadth)** — Quantity without shape. A person's set is only **0.88%** more
3.6×,README.md,138,False,,False,and sex — 3.6× the neuroticism reference). Direction is unavailable; this is exactly what a
+0.58,README.md,142,False,,False,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**."
+0.017,README.md,142,False,,False,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**."
+0.24,README.md,142,False,,False,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**."
51.9%,README.md,152,True,60,True,"for log and 51.9% for linear (`#60`), with a permuted-label null of exactly 0.0000 at every n. **[ME"
87%,README.md,160,False,59,True,"**[RETRACTIONS #59]** Two largely independent contributions, 87% additive, both against two exactly-"
+0.0409,README.md,161,False,,False,controls: **cross-block factors +0.0409** (fitted on 31 *other* blocks) and **within-block structure
+0.0290,README.md,162,True,59,True,"+0.0290**, combined **+0.0606** (`#59`). The aggregate cross-domain signal is the *larger* — pairwis"
+0.0606,README.md,162,True,59,True,"+0.0290**, combined **+0.0606** (`#59`). The aggregate cross-domain signal is the *larger* — pairwis"
+0.0206,README.md,168,False,,False,"item-neighbour structure recovers **+0.0206** held-out R² over a marginals base, against the person"
+0.0289,README.md,169,False,,False,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on"
71%,README.md,169,False,,False,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on"
+0.0006,README.md,169,False,,False,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on"
67%,README.md,170,False,58,True,"578,989 held-out cells. **[#58]** Fitted jointly, the two are **67% the same structure**: combined i"
25%,README.md,211,False,,False,"anonymised, with correlations attenuated roughly 25% by design · every measure self-report."
