v_page,v_win,v_term,v_named,v_pos,v_ctx
README.md,80,category count,False,10376," (median 0.7335)** — **in real data the ceiling is set by marginal skew, not by category count**, so normalisation does far more work here than the si"
README.md,80,breadth,False,243972,"e who refused at least once (**conditioning on the outcome, a collider**) ⇒ the breadth difference must have its **synthetic null** subtracted (indepe"
README.md,80,breadth,False,263882,"n `E01`'s `A05`–`A07`, whose products are ""the third dimension's proper name is breadth"", ""breadth has a shape and its first name is fluids"", ""the ALS"
README.md,80,breadth,False,263893,"A05`–`A07`, whose products are ""the third dimension's proper name is breadth"", ""breadth has a shape and its first name is fluids"", ""the ALS loading as"
README.md,80,category count,False,406638,"⚠ shared thresholds are an assumption and **DIF is structurally untestable**; ⚠ category counts [2,4,5], **no ranking across them**⟩ ⚠⚠ **appended by "
README.md,80,breadth,True,518283,t grows with how well the outcome is explained (`r` = **+0.609**). Swapping the breadth proxy for block coverage keeps it (25/29 positive; the two sha
README.md,80,pick count,False,519194,"e distinguishing prediction is unsupported** (`#234a`: stratify by shame, match pick count, > and the breadth profile's split-half replication is **0."
README.md,80,breadth,False,519216,"ction is unsupported** (`#234a`: stratify by shame, match pick count, > and the breadth profile's split-half replication is **0.4672 / 0.4611 / 0.4718"
README.md,80,pick count,False,520764,ocks (32 multi-select) | untested | **+0.1185 [cov≥8 · scope stated]** | 9/20 | pick count controlled (+0.1155) · sex · content score | | **Between-bl
README.md,80,breadth,False,520996," (onset instrument, +0.1384) | +0.0830 | ~8–10/31  ⚠ **`#259`: this row and the breadth-type c3 row overlap heavily** — their outcome profiles correla"
README.md,80,pick count,False,521329,"wo rows because the residual is resolvable, not because they are independent. | pick count near-absent on the onset instrument (+0.0428) | | **Breadth"
README.md,80,pick count,False,521748,"""predicts nothing"" is **withdrawn**: that reading came from one unlucky seed) | pick count controlled · block-level property ruled out (`#228b`) | | B"
README.md,80,pick count,False,521936,"| untested | `UNCOMPUTED` | 13 → **9 after control, read as 6–12** (`#257`) | **pick count · sex · position S all controlled** (`#252`) | | Breadth ty"
README.md,80,pick count,False,522114," | untested | `UNCOMPUTED` | 11 → **6 after control, read as 4–8** (`#257`) | **pick count · sex · position S all controlled** (`#252`) | | **Breadth "
