token,file,line_no,cls,line
-0.126,README.md,116,①有出处只是没写,"(−0.126 — **[VERIFICATION — see RETRACTIONS #16]**, published as `01-age-onset` Finding 1) and recall anchoring, and aft"
0.88%,README.md,129,①有出处只是没写,**[R07 · breadth](A07_breadth)** — Quantity without shape. A person's set is only **0.88%** more
3.6×,README.md,138,①有出处只是没写,and sex — 3.6× the neuroticism reference). Direction is unavailable; this is exactly what a
+0.58,README.md,142,①有出处只是没写,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**."
+0.017,README.md,142,①有出处只是没写,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**."
+0.24,README.md,142,①有出处只是没写,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**."
51.9%,README.md,152,①有出处只是没写,"for log and 51.9% for linear (`#60`), with a permuted-label null of exactly 0.0000 at every n. **[MECHANISM REVERSED — #"
87%,README.md,160,①有出处只是没写,"**[RETRACTIONS #59]** Two largely independent contributions, 87% additive, both against two exactly-null"
+0.0409,README.md,161,①有出处只是没写,controls: **cross-block factors +0.0409** (fitted on 31 *other* blocks) and **within-block structure
+0.0290,README.md,162,①有出处只是没写,"+0.0290**, combined **+0.0606** (`#59`). The aggregate cross-domain signal is the *larger* — pairwise block→block"
+0.0606,README.md,162,①有出处只是没写,"+0.0290**, combined **+0.0606** (`#59`). The aggregate cross-domain signal is the *larger* — pairwise block→block"
+0.0206,README.md,168,①有出处只是没写,"item-neighbour structure recovers **+0.0206** held-out R² over a marginals base, against the person"
+0.0289,README.md,169,①有出处只是没写,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on"
71%,README.md,169,①有出处只是没写,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on"
+0.0006,README.md,169,①有出处只是没写,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on"
67%,README.md,170,①有出处只是没写,"578,989 held-out cells. **[#58]** Fitted jointly, the two are **67% the same structure**: combined increment +0.0359 aga"
25%,README.md,211,①有出处只是没写,"anonymised, with correlations attenuated roughly 25% by design · every measure self-report."
