page,token,ctx
README.md,**59.6%,"ghtness, BMI, partner count, pick count, porn habit, self-reported honesty), a commonality decomposition on shame leaves c3⁻ with **59.6%** of its own R² (unique 0.996pp of 1.671pp; shared **+0.674pp** against a row-permutation"
README.md,59.6%,"t is built by synthesising five variables with the observed \|r\| to c3⁻ and nothing else in common. **A real single factor gives 59.6%, so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3"
README.md,**37.1%,"hing else in common. **A real single factor gives 59.6%, so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3⁻'s shame where all twenty take 40.4% — **92% of the work of twenty variables done"
README.md,40.4%,"es 59.6%, so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3⁻'s shame where all twenty take 40.4% — **92% of the work of twenty variables done by one dimension** — against random 5-subset"
README.md,**92%,", so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3⁻'s shame where all twenty take 40.4% — **92% of the work of twenty variables done by one dimension** — against random 5-subsets taking"
README.md,30%,"of permutations exceeding the observed value**. The same test detects a planted buffer of **10%** in three of the four variables (30% for openness), against **54.8%** for the single-coefficient test it replaces. **This is a"
README.md,**54.8%,"he observed value**. The same test detects a planted buffer of **10%** in three of the four variables (30% for openness), against **54.8%** for the single-coefficient test it replaces. **This is a null with power**: if any of t"
README.md,2×,"ally** — `animated` ↔ shame **+0.0985**, `written` ↔ shame **+0.0515**, a difference sitting exactly on this design's resolution (2×MDE = 0.047). The direction is shared; the share is not. On sex the two diverge far more ("
README.md,**45%,"ing ≥8 of the 32 blocks (n = 6,717). Relaxing that inclusion rule to ≥6 and ≥4 (n = 12,720) gives **+0.1477** and **+0.1715** — a **45% swing**, larger than any analysis knob in [`CALIBER.md`](CALIBER.md). ⚠ The direction is "
README.md,**102%,"e uncommon""**. **And it is not a shadow of sex** (`#164`): regressing sex out of *every* block-level score leaves the tendency at **102%** (4.9× its own spread, and the direction is *up*), while a purely sex-driven position pl"
README.md,**−0%," the tendency at **102%** (4.9× its own spread, and the direction is *up*), while a purely sex-driven position plant collapses to **−0%** and a purely personal one survives at **+0.986** under the same treatment; **67%** surv"
README.md,30%,ect does not exist.** ⚠ The post-14 half is itself age-selected (contributor median age 26.5 vs 22.5) and its permutation null is 30% of the effect ⚠ **`#243` — and it is not a population effect at all**: split people by wh
README.md,1%,"om same-size subset lands on the full-sample value (−0.0298), a 15-year threshold reproduces −0.1407, and the permutation null is 1% of the effect. **Range restriction cannot explain it**: the early group has *lower* withi"
README.md,86%,"depend on which statistic I use**. ⚠ But CONSISTENT, not PROVEN: the equivalence bound can only exclude a discrepancy larger than 86% of the effect, and `#151` shows **this release has no instrument that can weld it shut** "
README.md,11%,"rests as arriving about nine months earlier** | −0.2000 years per rating sd (**19.8× SE**); a within-category shuffle null is **0–11%** of the effect (`#153`: the original round drew it **once**, and that draw was the small"
README.md,5.5%,"** of the effect (`#153`: the original round drew it **once**, and that draw was the smallest of 20; the null's realisation sd is 5.5% of the effect); the planted ladder is monotone. **This is the first recall bias directly "
README.md,**6%,"remaining preferences are pulled toward whichever came first** | displacement **+0.0339 — 3.1× its own spread**, with the null at **6% of the effect**, positive in 46 of 68 pairs, with a generative positive control firing mo"
README.md,**82.7%,"directions** | abjection and filth ↔ blood, burning, weapons — people who like one end systematically dislike the other | A02 | | **82.7% say ""porn gave me this interest"", and that sentence leaves no trace in either their prefe"
README.md,91%,"hing highly"" `#115` | | ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0.028; the null is 91% of the effect `#102` | | ""The √n accumulation across blocks reflects latent structure"" | "
README_zh.md,2×,"而这个残差有很大一块是性别的,与紧接着那处分歧一致。⚠ **`#325`:而两个指标带得并不一样多** —— `animated` ↔ 羞耻 **+0.0985**,`written` ↔ 羞耻 **+0.0515**,这个差**正好压在本设计的分辨率上**(2×MDE = 0.047)。方向是共享的,份额不是。在性别上两者相差远更大(**−0.061** vs **−0.267**),所以一个合成分的相关可以几乎全部来自其中一个指标。 |"
README_zh.md,+89.4%,",控制年龄、类别数,窄臂另控 `S` 与 `c3⁻`:系数在从没有过性伴的人身上是 **−0.015**,在其余人身上是 **−0.077**,差 **−0.062**,越过随机重分层给出的阈 0.042(宽口径 n = 12,516,guard 25 增幅 +89.4%)。三个可算的格全部带着预注册的负号,只有最宽的那格越阈。 ⚠ **这确立的是「这个差不是噪声」,不是「羞耻需要观众」**:从没有过性伴的人**既没有观众,也没有机会**,而「实践"
README_zh.md,**67%,":把性别从**每一个**块层分数里回归掉,这个倾向保留 **102%**(4.9× 自身展布,方向是**升**);而同样的处理让一个纯**性别驱动**的位置种植塌到 **−0%**、让一个纯**个人**的位置种植存活到 **+0.986**;移除勾选数后存活 **67%**,而且它与勾选数的相关(+0.608)**低于**零的(+0.719) 。**而它也不是一个更大的「内容」维度的投影**(`#165`):直接在**选项矩阵**上给人打分 ——"
README_zh.md,**4%,"熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.0328**,题内跨人置换零 +0.0018,**8.8×**。**离散版本(最早一格 vs 他自己的曲目库)独立复现:扣掉时间表后 +0.0767,14.5×**。`#114` 的回忆偏差实际只贡献 **4%**,且对主量符号相反。⚠ **`#211` 给这条声明补上它一直没有的边界**:用同一条管道把起始年龄截到 14 / 16 / 18 岁(种植的效应在**每一档**都仍然开火),"
README_zh.md,61%,"种植效应还小。内容线也不解释它(PC4 只 0.2×),稀有度离散度也不(+0.191)。**机制已定位**(`#148` `#152`):**它是那张所有人共享的发育时间表投影到每个人身上的样子** —— **五种不同的时间表定义下都解释掉大部分,符号一致(61%–104%)**。⚠ **量级是规格依赖的**:`#148` 报的「80%,超出随机基准 44 个百分点 20.0×」已撤回 —— 那个基准是**一次**随机抽样(20 抽跨 −6"
README_zh.md,63.30%,"西是一个稳定的性质(`#100`:+0.4611,23.1×);什么时候得到它们,不是。**⚠ **机制 UNVERIFIED**:题目层 Spearman(稀有度, 起始年龄**中位数**)= +0.437,但中位数是一个**更差的时间表**(留出成对顺序 63.30% vs 均值 66.70%),而均值序与稀有度无关(+0.011)。左尾解释已死(−0.091)。**效应稳,机制未定** | `#130` `#131` | | **越是最终口味"
README_zh.md,66.70%,"00`:+0.4611,23.1×);什么时候得到它们,不是。**⚠ **机制 UNVERIFIED**:题目层 Spearman(稀有度, 起始年龄**中位数**)= +0.437,但中位数是一个**更差的时间表**(留出成对顺序 63.30% vs 均值 66.70%),而均值序与稀有度无关(+0.011)。左尾解释已死(−0.091)。**效应稳,机制未定** | `#130` `#131` | | **越是最终口味罕见的人,这个提前量越大*"
README_zh.md,91%,"稀有度无关(+0.011)。左尾解释已死(−0.091)。**效应稳,机制未定** | `#130` `#131` | | **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +0.5878。`#114` 的回忆偏差实际贡献 39%。**换成离散统计量后复现:匹配后 +0.0532,"
README_zh.md,100%,"释已死(−0.091)。**效应稳,机制未定** | `#130` `#131` | | **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +0.5878。`#114` 的回忆偏差实际贡献 39%。**换成离散统计量后复现:匹配后 +0.0532,5.1×**。**而 `#150` "
README_zh.md,17%,"**效应稳,机制未定** | `#130` `#131` | | **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +0.5878。`#114` 的回忆偏差实际贡献 39%。**换成离散统计量后复现:匹配后 +0.0532,5.1×**。**而 `#150` 的预注册点预测命中**"
README_zh.md,86%,"的预注册点预测命中**:换成""他最早那个有多罕见""来测,得 **+0.0370**(预测 +0.0404,符号按定义相反,判别量 0.2×)—— **这句话不依赖我用哪个统计量**。⚠ 但只是 CONSISTENT 不是 PROVEN:等价界只能排除大于效应 86% 的差异,而 `#151` 证明**这个 release 里没有能焊死它的工具**(强制选择更干净但只有 10 块,信度 0.252 vs 0.461,净结果是分辨率损失) | `"
README_zh.md,11%," 23 倍 —— **这条声明安全,是因为设计而不是运气** | `#101` `#102` `#154` | | **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那一抽是 20 抽里最小的;零的实现 sd 是效应的 5.5%),种植阶梯单调。**这是本数据集第一个被直接量出来的回忆偏差,而整个成熟"
README_zh.md,5.5%,"` | | **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那一抽是 20 抽里最小的;零的实现 sd 是效应的 5.5%),种植阶梯单调。**这是本数据集第一个被直接量出来的回忆偏差,而整个成熟时间表建立在它之上**。⚠ **它是人群规律,不是个人的**(`#162`):按人估计的斜率,其分半信度*"
README_zh.md,10%," | 减零不修正估计器,它把估计器的失败记在被估计量头上 `#86` `#87` `#88` | | ""少数人集中于稀有选项"" | **措辞撤回,存在性保留** | 是对称加宽,不是子群 `#99` | | ""越早进入版图的东西越在中心"" | **撤回,只剩 10%** | 那不是时间,是""什么都给高分的人"" `#115` | | ""特质追踪更早的获取年龄"" | **撤回** | −0.030 对零 −0.028,零是效应的 91% `#10"
README_zh.md,91%,"称加宽,不是子群 `#99` | | ""越早进入版图的东西越在中心"" | **撤回,只剩 10%** | 那不是时间,是""什么都给高分的人"" `#115` | | ""特质追踪更早的获取年龄"" | **撤回** | −0.030 对零 −0.028,零是效应的 91% `#102` | | ""跨块累积的 √n 反映潜结构"" | **反转** | 等预算下块越多越差;那是普通的 √N `#64` |  ---  # 这套数据做不到的(每条都量过,"
