page,num,overlap,title,ctx
README.md,720,0,"一个人的性不是一件事,是二十件互不蕴含的事", take care of any sexual needs I may have* comes in (p = 0.0075). ⚠ The one that dropped is exactly the facet `#720` found sitting on its own null at 1.02× — **the same facet fails twice
README.md,716,0,"五个域全都比随机凑的六题更连成一片,「只有纯洁」是那把尺子造的","d**: of the **28 rows carrying ⟨…⟩, 25 never declare whether the denominator was enumerated or sampled**, and `#716` once caught one moving by a factor of 1.9. Measured, **only one kind "
README.md,653,0,"五个道德域里只有纯洁是团,而性在两具仪器上都是","ments about other people's behaviour**, MSSCQ is **self-description**, **not the same construct ⇒ this is not `#653`②'s third replication point, and *sex is one block* still has only the"
README.md,542,0,"面内高于面间,而那是设计;`prior_art` 这一行第一次自己举了手"," a premise but a thing to be tested, **and it passed**: median within-facet agreement **0.5645**, reproducing `#542`'s 0.579 within ±0.05. **The result: all twenty facets clear their own"
README.md,718,0,"比值随符号约定腰斩,而两条判决因此翻面","① **three facets are negative without sign alignment** (17, 7, 8) and all turn positive under optimal signs — `#718`'s lesson reproducing intact on a brand-new instrument, and my first p"
README.md,542,0,"面内高于面间,而那是设计;`prior_art` 这一行第一次自己举了手","I had built two rounds earlier; ② **the median cross-facet pair, 0.0725, does not match the 0.173 recorded in `#542`** — ② **the median cross-facet pair, 0.0725, does not match the 0.173"
README.md,542,0,"面内高于面间,而那是设计;`prior_art` 这一行第一次自己举了手","he 0.173 recorded in `#542`** — ② **the median cross-facet pair, 0.0725, does not match the 0.173 recorded in `#542`** — the next round closed that gap, and closing it turned up two heav"
README.md,542,0,"面内高于面间,而那是设计;`prior_art` 这一行第一次自己举了手","vier things `[#720「一个人的性不是一件事,是二十件互不蕴含的事」]`. ⚠ **The whole difference is whether absolute values are taken**: `#542` reported a median of `|ρ|` (raw), and the four-cell comparison gives "
README.md,607,0,"参照那个 0.093,是一堆符号随机的零取了绝对值"," / 4,750 identical to the word. **And 1,786 of the 4,750 cross-facet pairs (38%) are negative** ⇒ by the rule `#607` already established, **a median of absolute values over correlations "
README.md,542,0,"面内高于面间,而那是设计;`prior_art` 这一行第一次自己举了手",is that my own positive control passed by luck**: I compared a *median of per-facet medians* (0.5645) against `#542`'s *pooled median over 200 pairs* (0.5789) — **two different statistic
README.md,718,0,"比值随符号约定腰斩,而两条判决因此翻面","89, a gap of 0.0067** — **the conclusion is unchanged, and until now it held by luck.** This is the mirror of `#718`: there a failing positive control caught me comparing mismatched numb"
README.md,720,0,"一个人的性不是一件事,是二十件互不蕴含的事","ires* = 0.666), and **a result restating how the instrument was built is a verification, not a finding**. ⇒ **`#720`'s within-facet half inherits that downgrade verbatim, and the page ro"
