v_entry,cls
21,①带区间/MDE
22,①带区间/MDE
24,③仪器失败
25,②只有点估计
26,②只有点估计
28,②只有点估计
29,①带区间/MDE
33,②只有点估计
34,②只有点估计
41,②只有点估计
44,①带区间/MDE
46,②只有点估计
48,②只有点估计
65,③仪器失败
74,②只有点估计
92,②只有点估计
93,②只有点估计
94,③仪器失败
102,①带区间/MDE
108,①带区间/MDE
110,①带区间/MDE
111,②只有点估计
112,②只有点估计
114,②只有点估计
119,①带区间/MDE
120,①带区间/MDE
122,①带区间/MDE
123,①带区间/MDE
124,①带区间/MDE
125,①带区间/MDE
131,①带区间/MDE
132,①带区间/MDE
133,②只有点估计
143,①带区间/MDE
144,②只有点估计
146,①带区间/MDE
154,②只有点估计
161,①带区间/MDE
165,①带区间/MDE
166,①带区间/MDE
168,①带区间/MDE
171,②只有点估计
172,②只有点估计
181,①带区间/MDE
183,①带区间/MDE
184,②只有点估计
187,②只有点估计
194,②只有点估计
195,②只有点估计
197,①带区间/MDE
204,③仪器失败
208,①带区间/MDE
211,②只有点估计
220,③仪器失败
222,③仪器失败
224,①带区间/MDE
226,①带区间/MDE
227,②只有点估计
228,①带区间/MDE
229,①带区间/MDE
232,①带区间/MDE
234,②只有点估计
237,②只有点估计
238,①带区间/MDE
239,①带区间/MDE
245,①带区间/MDE
247,①带区间/MDE
249,①带区间/MDE
250,①带区间/MDE
252,①带区间/MDE
253,②只有点估计
259,①带区间/MDE
285,③仪器失败
292,③仪器失败
294,①带区间/MDE
295,①带区间/MDE
296,③仪器失败
297,①带区间/MDE
298,①带区间/MDE
299,①带区间/MDE
300,③仪器失败
309,①带区间/MDE
310,①带区间/MDE
312,①带区间/MDE
313,①带区间/MDE
314,③仪器失败
315,①带区间/MDE
321,①带区间/MDE
322,③仪器失败
323,③仪器失败
335,③仪器失败
336,②只有点估计
341,①带区间/MDE
342,①带区间/MDE
350,②只有点估计
355,①带区间/MDE
360,①带区间/MDE
361,①带区间/MDE
366,①带区间/MDE
374,①带区间/MDE
381,①带区间/MDE
382,③仪器失败
388,①带区间/MDE
391,②只有点估计
400,①带区间/MDE
402,①带区间/MDE
410,①带区间/MDE
413,①带区间/MDE
414,①带区间/MDE
415,①带区间/MDE
426,②只有点估计
427,①带区间/MDE
429,②只有点估计
436,①带区间/MDE
437,②只有点估计
444,①带区间/MDE
449,②只有点估计
453,②只有点估计
455,①带区间/MDE
461,③仪器失败
466,②只有点估计
468,②只有点估计
480,②只有点估计
482,②只有点估计
484,③仪器失败
485,①带区间/MDE
488,①带区间/MDE
490,③仪器失败
491,③仪器失败
494,①带区间/MDE
496,①带区间/MDE
508,①带区间/MDE
511,③仪器失败
513,②只有点估计
514,②只有点估计
518,③仪器失败
527,②只有点估计
532,②只有点估计
533,③仪器失败
536,①带区间/MDE
537,②只有点估计
538,②只有点估计
539,①带区间/MDE
540,②只有点估计
544,②只有点估计
549,②只有点估计
552,②只有点估计
553,②只有点估计
556,②只有点估计
558,②只有点估计
560,②只有点估计
561,②只有点估计
569,②只有点估计
585,③仪器失败
593,①带区间/MDE
595,②只有点估计
602,②只有点估计
603,②只有点估计
607,①带区间/MDE
613,③仪器失败
614,③仪器失败
615,③仪器失败
616,②只有点估计
618,③仪器失败
621,②只有点估计
625,①带区间/MDE
629,②只有点估计
632,③仪器失败
638,②只有点估计
639,①带区间/MDE
642,①带区间/MDE
643,①带区间/MDE
646,③仪器失败
647,③仪器失败
651,③仪器失败
655,①带区间/MDE
659,①带区间/MDE
662,①带区间/MDE
663,①带区间/MDE
670,②只有点估计
672,②只有点估计
674,③仪器失败
679,②只有点估计
684,②只有点估计
686,①带区间/MDE
689,②只有点估计
693,③仪器失败
696,②只有点估计
697,①带区间/MDE
701,③仪器失败
705,②只有点估计
706,②只有点估计
711,③仪器失败
713,①带区间/MDE
718,②只有点估计
725,③仪器失败
727,②只有点估计
728,②只有点估计
731,②只有点估计
734,②只有点估计
745,②只有点估计
746,①带区间/MDE
748,①带区间/MDE
756,②只有点估计
760,①带区间/MDE
761,②只有点估计
764,②只有点估计
767,①带区间/MDE
771,②只有点估计
772,②只有点估计
773,②只有点估计
775,①带区间/MDE
777,③仪器失败
779,②只有点估计
780,①带区间/MDE
781,①带区间/MDE
782,①带区间/MDE
783,①带区间/MDE
784,①带区间/MDE
785,①带区间/MDE
786,②只有点估计
787,②只有点估计
788,②只有点估计
789,①带区间/MDE
792,②只有点估计
793,①带区间/MDE
794,①带区间/MDE
795,②只有点估计
796,①带区间/MDE
797,①带区间/MDE
801,②只有点估计
802,①带区间/MDE
803,①带区间/MDE
804,②只有点估计
805,③仪器失败
808,①带区间/MDE
816,①带区间/MDE
817,①带区间/MDE
818,①带区间/MDE
820,①带区间/MDE
821,①带区间/MDE
823,②只有点估计
828,②只有点估计
829,①带区间/MDE
830,②只有点估计
837,②只有点估计
838,①带区间/MDE
845,①带区间/MDE
848,②只有点估计
849,①带区间/MDE
851,②只有点估计
853,①带区间/MDE
856,①带区间/MDE
857,①带区间/MDE
864,①带区间/MDE
866,①带区间/MDE
868,①带区间/MDE
869,②只有点估计
870,②只有点估计
871,②只有点估计
872,②只有点估计
