token,home_entry,cited,n_cited,own_home,dist,line,full_len,evidence
+0.0339,118,"118,142",2,True,0,| **And the remaining preferences are pulled toward whichever came first** | displacement ,552,"| 118a | **加强成功,`#117c` 按 3.1× 引用** | 位移 **+0.0339,3.1× 自身展布**,零是效应的 6%,46/68 对为正 |"
3.1×,118,"118,142",2,True,0,| **And the remaining preferences are pulled toward whichever came first** | displacement ,552,"| 118a | **加强成功,`#117c` 按 3.1× 引用** | 位移 **+0.0339,3.1× 自身展布**,零是效应的 6%,46/68 对为正 |"
-0.135,82,82,1,True,2,"| ""Domain-general beats domain-specific, 186/276"" | **Inverted: 0 general / 201 specific**",170,| 82c | **the A-vs-B reading this changes** | **The person-side readout is mostly assembled PER DOMAIN.** `#70
1.05×,85,"86,87,88",3,False,1,"| ""The three components are the same size (in predictability), 1.05×"" | **Withdrawn** | Su",204,"| 85b | **the three components, symmetrically** | **THE SAME SIZE.** `I_c` **+0.208** · interaction `+0.199` ·"
10%,0,115,1,False,0,"| ""The earlier something enters the map, the more central it is"" | **Withdrawn, 10% remain",166,"| 12 | **""Self-reported porn-induced fetish acquisition has no structural signature""** (`r37`–`r38`, misfit rh"
-0.030,102,102,1,True,0,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0",134,| 102b | **`#101d`'s onset link** | **DOWNGRADED to `UNVERIFIED`.** At −0.0302 against a matched null of −0.02
91%,125,102,1,False,0,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0",134,"于是我给它加了第二条通路(传 `null_spread`,若 |零| < 2×自身展布也算过)。**然后回放五个历史案例,发现这个口子让 `#102a` 那个 91% 的同号零通过了** —— 而那正是这个库存在的起因。"
-0.028,0,102,1,False,0,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0",134,"| 9 | **""Unit acquisition of a coordinate""** — my own hypothesis from `r26`, that categories sharing a GCCA co"
48×,120,120,1,True,0,| Distinguish memory becoming blurry from a story becoming settled | Real curvature is **0,258,"| 120a | **机制分不开 —— 能力边界,不是零** | **真实曲率是 0.3× 自身展布**,根本没通过可分辨性。要把它推到 2×,需要**约 48 倍样本量** |"
2×,0,120,1,False,0,| Distinguish memory becoming blurry from a story becoming settled | Real curvature is **0,258,"| 2 | **""Cross-domain transfer of individual structure is weak""** (`r08`, median \|r\| = 0.064 over 418 block "
0.3×,120,120,1,True,0,| Distinguish memory becoming blurry from a story becoming settled | Real curvature is **0,258,"| 120a | **机制分不开 —— 能力边界,不是零** | **真实曲率是 0.3× 自身展布**,根本没通过可分辨性。要把它推到 2×,需要**约 48 倍样本量** |"
