family,col,n,vals,mode
BINNED_FIB,You find raceplay to be: (fkk3ykn),1881,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(5.0), np.float64(8.0)]",0.0
BINNED_FIB,"When I picture myself with a nude male body, I find this: (dl5zw4l)",1214,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(5.0), np.float64(8.0)]",0.0
BINNED_FIB,"When I picture myself as having a nude female body, I find this: (yqi5",1899,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(5.0), np.float64(8.0)]",0.0
BINNED_FIB,"When I picture my own nude female breasts, buttocks, legs, or genitals",914,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(5.0), np.float64(8.0)]",8.0
BINNED_FIB,The thought of someone else admiring me while I am a woman in the nude,909,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(5.0), np.float64(8.0)]",8.0
BINNED_FIB,"When I picture my own nude male buttocks, legs, or genitals, I find th",490,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(5.0), np.float64(8.0)]",0.0
BINNED_FIB,The thought of someone else admiring me while I am a man in the nude i,485,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(5.0), np.float64(8.0)]",0.0
NEG_FIB,cunnilingus,15503,"[np.float64(-8.0), np.float64(-5.0), np.float64(-3.0), np.float64(-2.0), np.float64(-1.0), np.float64(0.0)]",-8.0
NEG_FIB,"""I find dirtytalking erotic"" (947wne3)",15502,"[np.float64(-8.0), np.float64(-5.0), np.float64(-3.0), np.float64(-2.0), np.float64(-1.0), np.float64(0.0)]",-8.0
NEG_FIB,"""I find cunnilingus:"" (jn2b355)",15502,"[np.float64(-8.0), np.float64(-5.0), np.float64(-3.0), np.float64(-2.0), np.float64(-1.0), np.float64(0.0)]",-8.0
NEG_FIB,"""I find blowjobs:"" (yuc275j)",15502,"[np.float64(-8.0), np.float64(-5.0), np.float64(-3.0), np.float64(-2.0), np.float64(-1.0), np.float64(0.0)]",-8.0
NEG_FIB,normalsex,15503,"[np.float64(-8.0), np.float64(-5.0), np.float64(-3.0), np.float64(-2.0), np.float64(-1.0), np.float64(0.0)]",-8.0
