v_out,v_b,comp
animated,0.0306808535355447,False
written,-0.0291962318331354,False
"""I am ashamed or embarrassed about at least ",0.0903875115961249,False
"""Engaging with or fantasizing about what aro",0.0511370431588696,False
"""I can get aroused by a partner doing what I",0.0423398382288482,False
"""I've acted upon or experimented with all th",0.0839785960894044,False
"""I sometimes find people who have clearly re",0.0791776770807199,False
allrollidentity,0.053356590564118,False
"""I find it erotic when two people of the opp",0.0723504373973317,False
knowwhatarousesyou,0.0554023909460209,False
highenergy,-0.0754892344317938,False
"""I find the thought of existing (in *nonsexu",0.0741900488944429,False
"""I find the thought of existing (in *nonsexu",0.0859996551491893,False
inducefetish,0.0963401782007304,False
"""I find the thought of masturbating alone as",-0.0168677184615942,False
"""I find the thought of masturbating alone as",0.0465479905240237,False
"""If my partner is aroused by something, I ca",0.0194715008921993,False
"""I am aroused by being dominant in sexual in",-0.0069320979430277,False
"""I am aroused by being submissive in sexual ",0.0103394447575072,False
age,0.0084105544293504,False
openness,0.0321457260122429,True
conscientiousness,-0.0529963689482279,True
extroversion,0.0028577453457755,True
neuroticism,-0.0332356532244397,True
agreeableness,-0.0584155545697695,True
powerlessness,0.0078987735234843,True
关系风格,0.0776947721062316,False
0–14 岁被打屁股,0.0094360357460068,False
成长期性开放度,-0.003687654330895,False
