entry,has_score_level,snippet
230,False,"230 · `E01·A06·R006` — 通向羞耻的路不止一条,而新的那条略强一点 **`#230a` ★ 三个宽度类型预测的是不同的东西 —— 全门通过。** 三个成分的人"
231,False,"231 · `E01·A06·R006` — 在人人都去的地方敞开的人,羞耻更少 **`#231a` ★★ 两半的符号是相反的 —— 名字挣到了,而且比我原来的读法更强。** 把"
232,False,"232 · `E01·A06·R008` — 两条完全不同的路,通向同一种感觉 **`#232a` ★ 罕见的两个层次不是同一件事的两次读数 —— 剖面低于上限 170 个展布。"
250,False,"250 · `E01·A06·R009` — 「积累得快」不是一个新的人,是同一个人的另一种量法 **`#250a` ★ 世界②:`rate` 与 `rho_i` 的结局剖面是同"
258,False,"258 · `E01·A06·R007` — c3 有名字了:不是「你有多开放」,是「你把开放花在哪儿」 **`#258a` ★★ 名字挣到了,而且是跨仪器的,两半符号相反。**"
259,True,"259 · `E01·A06·R007` — 大体同一,而「大体」这个词这次是有数字的 **`#259a` c3 与 D 的结局剖面相关 +0.7826,上限 0.9142 ± "
262,True,"262 · `E01·A06·R010` — 连着三次我给不出的名字,数据自己指了一个方向 **`#262a` ★ 第一份**由数据给出**的候选名字:`c3⊥D` 的结局剖面最"
263,True,"263 · `E01·A06·R010` — 四次命名之后,诚实的答案是「名字不在这份数据里」 **`#263a` ★★ 「最像外向」是纯粹的剖面层巧合 —— 分数层的符号是反的"
279,True,"279 · `E01·A07·R013` — 两个相关恰好为零的量,可以在 27 个结局上给出几乎同一张脸 **`#279a` `form_i` 的剖面与 D 的相似 **0.7"
280,True,"280 · `E01·A07·R013` — 这个守卫挡的不是一个数,是一种推理方向 **类型:CLOSURE**。 **`#280a` ★ 守卫 15 `profile_si"
281,True,"281 · `E01·A07·R013` — `#250a` 站得住,但它有一格从没被量过 **`#281a` ★ 守卫 15 放行:`#250a` 不是被禁方向上的结论。** "
282,True,"282 · `E01·A07·R013` — 那一成里最像年龄的部分,是问卷只能看到你到今天为止的样子 **`#282a` ★ `rate⊥rho × age` 没能通过截断控制"
283,True,"283 · `E01·A07·R013` — 同一道题,两条互不相干的路 **`#283a` `rate⊥rho` 与 `form_i` 不是同一个东西。** 两者来自**不相交"
284,False,284 · `E01·A07·R013` — 外面的人现在拿到的是当前状态 **类型:PRODUCTION**。 **`#284a` 三件都落地。** ① `form_i` 进
285,False,"285 · `E01·A07·R014` — 这六个坐标在男性和女性身上,不是完全同一套 **`#285a` ① 载荷层:按性别劈 **0.7695** vs 随机劈 **0.8"
308,True,"308 · `E01·A07·R014` — 羞耻的两条路在同一个人身上是**相加**,而这是一个有功效的零 ⚠ 符号约定(`#306b`):全程用 **`c3⁻ = −c3`*"
309,False,"309 · `E01·A07·R016` — 注册的问题答不了,而它答出了一个更结实的 **`#309a` ⛔ 调节剖面这把尺子没有功效,正对照当场说了。** ② 调节剖面相关 "
315,True,"315 · `E01·A07·R016` — 注册的判据没开火,而那个判据本身选错了 **`#315a` 8 次劈半,每半各自跑置换零:** | | | |---|---:| |"
443,False,"443 · `E01·A09·R036` — 「更卷入」有两种,而它们收的费不一样 ⚠ **FRONTIER**。`#442` 的 NEXT:两半转向同一侧后,后果一样吗? *"
