page,token,ctx
README.md,68%, sex-label permutation null's 95th percentile is **0.0281** against a median \|Δ\| of **0.0411** across the seven — **the null is 68% of the effect.** **Per-facet BH passes and aggregate strength does not; both have to be s
README.md,**9.85%,"s **halo null did not act**: permuting the four target values within a society moves the composite (a four-target z-mean) by only **9.85% of its own SD** — **it is a no-op control, and its giving ≈ the observed value on every r"
README.md,97%,th units give the same direction through completely different magnitudes (+0.6558 vs ≤+0.3030 at the society level; +0.13 against 97% retention at the person level) — exactly the shape `#737` established: direction transfer
README.md,13.7%,"osite direction to what I expected: **MFQ's ""the more you value chastity the less you value fairness"", −0.2116, drops to −0.0290 (13.7%) once politics is removed**; GSS's `helpoth` sits near zero before and after. **⇒ With po"
README.md,9.4%," they should be derived from something measurable: the effect's own null, the MDE, or another known explanator's share (politics' 9.4% here is a ready-made ruler). ⚠ The three religion measures are correlated with one anothe"
README.md,28%," it certainly does not mean an unchanged one either, and this round has earned only the first half of that sentence** `[#842「总体虚高 28%」]` (Entry 842) 〔this project's own pages〕 ⟨**Production plus one correction to `#833`; la"
README.md,91%,ed score** — **combining them is me setting my own width** | **② the entry's round has a `results/` artifact directory: 113/124 = 91%** · **① its `NEXT` points to a later real entry: 2/124 = 2%** · both: **2/124 = 2%** ⇒ th
README.md,2%,"**② the entry's round has a `results/` artifact directory: 113/124 = 91%** · **① its `NEXT` points to a later real entry: 2/124 = 2%** · both: **2/124 = 2%** ⇒ the pre-registered kill (≥60%) **fails**, verdict **OVERTURNED"
README.md,2%,"as a `results/` artifact directory: 113/124 = 91%** · **① its `NEXT` points to a later real entry: 2/124 = 2%** · both: **2/124 = 2%** ⇒ the pre-registered kill (≥60%) **fails**, verdict **OVERTURNED**, `Gate.admissible()`"
README.md,**66.4%,"* (400 draws); measured, **the offset sits 11.6 of its own spreads from that null** | **What stands**: `p(allow\|wrong)` averages **66.4%** across cells and the offset is significantly negative in **12/12**; for teaching in the"
README.md,5%,"computed direction plus a dose-response**: 0%→0.1896 · 5%→0.2166 · 20%→0.3112 · 30%→0.3700 · 100%→0.8970, **monotone**, **MDE = a 5% plant**; ② **the placebo's complement contained people for whom the variable does not exi"
README.md,18.6%,"he gate prints about itself**; **this round reports no effect**⟩| | **The matcher only recognises how I have been writing lately: 18.6% recall, and its blind spot coincides exactly with the debts' era** | **the whole difficul"
README.md,**87.8%,"t its ceiling among the most devout, so that direction is the scale hitting a wall, not a relation** | in the most devout tercile **87.8%** say extramarital sex is ""always wrong"" (`teensex` 82.2%, `homosex` 80.5%), and the sd f"
README.md,88%,"row above, and the direction is that they never disagreed about the world** — GSS uses a single four-point item that saturates at 88% among the devout, while **MFQ's authority score is a continuous multi-item mean with flat"
README.md,1.9%, is why the least-entangled cell is quoted; ⚠ all conduct measures are self-reported and **the condemning may under-report ⇒ both 1.9% and 5.8% are lower bounds** (a direction that works against my own conclusion); ⚠ the met
README.md,5.8%,he least-entangled cell is quoted; ⚠ all conduct measures are self-reported and **the condemning may under-report ⇒ both 1.9% and 5.8% are lower bounds** (a direction that works against my own conclusion); ⚠ the methodologic
README.md,**12.1%,"he first version printed −290.3% (Entry 760) 〔GSS〕〔MFQ〕 ⟨politics contributes **594.5×** its own spread while accounting for only **12.1%**⟩| | **This data cannot support the question of direction, and only computing the MDE fi"
README.md,**97.2%,"e state, not general morality; ⚠ the two batteries are coded in opposite directions, read off the value labels (Entry 751) 〔GSS〕 ⟨**97.2%** retained against a permuted-pairing null of +0.3379…+0.3421, the observed +0.3334 falli"
README.md,9.85%,"cation; only the discriminant half is a finding**; ⚠ **the halo null is a no-op for a four-target mean (it moves the composite by 9.85% of its own SD), so it did not act this round** (Entry 749) 〔SCCS〕 ⟨**3.69×**〕| | **The do"
README.md,53%,"*the gradient is larger, not smaller**; **but the gate returns UNVERIFIED because it compares |null| against |effect| (0.00151 is 53% of 0.00287), and that comparison is blind to sign.** ⇒ **the downgrade stands: neither re"
README.md,88%," with k ⇒ **the two ratios are not on one scale, so ""equally tight"" is not false but ill-posed**; verdict **UNVERIFIED** (null is 88% of the effect) (Entry 650 · 734) 〔NSFG〕 ⟨**1.03×–1.24×**〕| | And the family seven are not"
README.md,29%,"/*.json`, or a JSON without a null) ⇒ **whether the null belongs to that effect cannot be checked**. Across the page, **7 of 24 = 29%** are pairable (Entry 695).  ## What this cannot do  | Cannot | Why | |---|---| | Decide "
README.md,**59.6%,"ghtness, BMI, partner count, pick count, porn habit, self-reported honesty), a commonality decomposition on shame leaves c3⁻ with **59.6%** of its own R² (unique 0.996pp of 1.671pp; shared **+0.674pp** against a row-permutation"
README.md,59.6%,"t is built by synthesising five variables with the observed \|r\| to c3⁻ and nothing else in common. **A real single factor gives 59.6%, so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3"
README.md,**37.1%,"hing else in common. **A real single factor gives 59.6%, so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3⁻'s shame where all twenty take 40.4% — **92% of the work of twenty variables done"
README.md,40.4%,"es 59.6%, so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3⁻'s shame where all twenty take 40.4% — **92% of the work of twenty variables done by one dimension** — against random 5-subset"
README.md,**92%,", so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3⁻'s shame where all twenty take 40.4% — **92% of the work of twenty variables done by one dimension** — against random 5-subsets taking"
README.md,30%,"of permutations exceeding the observed value**. The same test detects a planted buffer of **10%** in three of the four variables (30% for openness), against **54.8%** for the single-coefficient test it replaces. **This is a"
README.md,**54.8%,"he observed value**. The same test detects a planted buffer of **10%** in three of the four variables (30% for openness), against **54.8%** for the single-coefficient test it replaces. **This is a null with power**: if any of t"
README.md,**95%," stand-in covariate — labelled a stand-in, not the real control — leaves the coefficient at **+0.048** from **+0.050**, retaining **95%**. ⚠ The separation is not total: the residual within-person tilt still correlates **+0.2"
README.md,**0.74%,"ssibly move the other's coefficient is fixed by three correlations, so it is knowable in advance: for these two arms the bound is **0.74%** and **0.36%** of the total effect, and what the full fits actually moved was **0.7%** a"
README.md,**0.36%,"e other's coefficient is fixed by three correlations, so it is knowable in advance: for these two arms the bound is **0.74%** and **0.36%** of the total effect, and what the full fits actually moved was **0.7%** and **0.5%**. T"
README.md,**0.7%,"n advance: for these two arms the bound is **0.74%** and **0.36%** of the total effect, and what the full fits actually moved was **0.7%** and **0.5%**. The same calculation says the page's porn-use mediation **does** have roo"
README.md,**0.5%,"r these two arms the bound is **0.74%** and **0.36%** of the total effect, and what the full fits actually moved was **0.7%** and **0.5%**. The same calculation says the page's porn-use mediation **does** have room, so this is"
README.md,2×,"ally** — `animated` ↔ shame **+0.0985**, `written` ↔ shame **+0.0515**, a difference sitting exactly on this design's resolution (2×MDE = 0.047). The direction is shared; the share is not. On sex the two diverge far more ("
README.md,**45%,"ing ≥8 of the 32 blocks (n = 6,717). Relaxing that inclusion rule to ≥6 and ≥4 (n = 12,720) gives **+0.1477** and **+0.1715** — a **45% swing**, larger than any analysis knob in [`CALIBER.md`](CALIBER.md). ⚠ The direction is "
README.md,**102%,"e uncommon""**. **And it is not a shadow of sex** (`#164`): regressing sex out of *every* block-level score leaves the tendency at **102%** (4.9× its own spread, and the direction is *up*), while a purely sex-driven position pl"
README.md,**−0%," the tendency at **102%** (4.9× its own spread, and the direction is *up*), while a purely sex-driven position plant collapses to **−0%** and a purely personal one survives at **+0.986** under the same treatment; **67%** surv"
README.md,30%,ect does not exist.** ⚠ The post-14 half is itself age-selected (contributor median age 26.5 vs 22.5) and its permutation null is 30% of the effect ⚠ **`#243` — and it is not a population effect at all**: split people by wh
README.md,1%,"om same-size subset lands on the full-sample value (−0.0298), a 15-year threshold reproduces −0.1407, and the permutation null is 1% of the effect. **Range restriction cannot explain it**: the early group has *lower* withi"
README.md,86%,"depend on which statistic I use**. ⚠ But CONSISTENT, not PROVEN: the equivalence bound can only exclude a discrepancy larger than 86% of the effect, and `#151` shows **this release has no instrument that can weld it shut** "
README.md,11%,"rests as arriving about nine months earlier** | −0.2000 years per rating sd (**19.8× SE**); a within-category shuffle null is **0–11%** of the effect (`#153`: the original round drew it **once**, and that draw was the small"
README.md,5.5%,"** of the effect (`#153`: the original round drew it **once**, and that draw was the smallest of 20; the null's realisation sd is 5.5% of the effect); the planted ladder is monotone. **This is the first recall bias directly "
README.md,**6%,"remaining preferences are pulled toward whichever came first** | displacement **+0.0339 — 3.1× its own spread**, with the null at **6% of the effect**, positive in 46 of 68 pairs, with a generative positive control firing mo"
README.md,**82.7%,"directions** | abjection and filth ↔ blood, burning, weapons — people who like one end systematically dislike the other | A02 | | **82.7% say ""porn gave me this interest"", and that sentence leaves no trace in either their prefe"
README.md,**78%,"God — is wrong, and wrong in the opposite direction** `[#609「撑住它的不是上帝,也不是贞洁」]`. Removing religious attendance, the God item keeps **78%** of its coherence with the rest of the family while the other five keep **83–93%** and t"
README.md,15%," the same shape while opinions moved inside it; **it tightened around this one point.** ⚠ The slope clears its resolution by only 15%, and the number of usable years differs between items, so the direction is the finding an"
README.md,**188%," A pairs range over **0.5281** (the criterion asked for < 0.30), and the placebo (police composite × birth cohort) is **0.1501**, **188% of the effect** — **so this is UNVERIFIED, and an instrument that fails its own self-chec"
README.md,−124%,"eeing the failure, and the ceiling formula holds only in the positive direction** (one pair is negative and its share computes to −124%, a formula artefact rather than an over-ceiling) — **so it is a diagnosis, not a result, "
README.md,9%,"ve raw values reproduce to **0.0008**; shuffling the domain assignment leaves a normalised within-minus-cross gap of **+0.0191**, 9% of the effect (and that null **keeps every marginal and therefore every ceiling**, so the"
README.md,88%,"e stricter exclusion **1.13× and 0.98×** — **both blocks sit essentially on their own nulls** (verdict UNVERIFIED, the null being 88% of the effect; the placebo returns +0.0015 / −0.0007 once rows are shuffled). ⚠ The origi"
README.md,167%,"g to do with sex — through the same differencing gives a correlation with condemnation of extramarital sex of **+0.5697, which is 167% of the main effect.** **Two morally unrelated things still move together after the trend "
README.md,18%,"0.062, +0.226]), both versions same sign and excluding zero, the positive control reproducing to four decimals and the placebo at 18% of the effect. ⚠ **Then the check: code 1 does not mean the same thing across items** — f"
README.md,69%,"re the run.** ① **The placebo**: the same stratification applied to the **death penalty** gives a largest gradient of **+0.1211 — 69% of the effect**. **The death penalty has no mode effect of its own, yet it has a gradient"
README.md,73%,"people. This line closes here** `[#663 ""死刑没有方式效应,却有方式效应的梯度""]`.  - **A thirty-seventh, and it prices everything else on this page: 73% of what is said here stands on a single way of asking — and the first time I actually che"
README.md,37%,"first author**, so this is **cross-publication, not cross-independent-team**; and the placebo (obedience × latitude) is **0.2897, 37% of the effect** — passing but high `[#667 ""一个为「先查再说话」而设的步骤,自己带着一个假覆盖的 bug""]`.  - **A fort"
README.md,125%,"re strongly on every stratifier (age +1.00, education +1.00, attendance +0.80, against the main effect's +0.80 / +0.80 / +0.60) — 125% of the effect, where the criterion required under half.** ⚠ **And this names an older fai"
README.md,69%,es an older failure**: an earlier round found that the mode effect's between-stratum gradient also appeared on the death penalty (69% of the effect) and could only record *the gradient is not specific to sexual items*; **th
README.md,61%,"0 / 0.0175 / 0.0050) **and falls back to the floor on the same people** — that significance was the different era brought in by a 61% sample loss, not an effect `[#675「教育让性道德变成一个立场,年龄让性别角色变成一个立场」]`. - **A forty-eighth, and "
README.md,74%,"ns all moral judgements with each other, and sex is no exception"" — a much weaker and truer claim, of which the general factor is 74%.** ⚠ **And the placebo delivers what is genuinely new here, in the opposite direction**: "
README.md,93%,""" means ""within one cohort there is still a gradient along the education axis"", not ""education caused it""** `[#683「分层掉世代之后,教育效应留下 93%」]`. - **A fifty-sixth, in which three of my own gates turned out to be broken — the third"
README.md,91%,"hing highly"" `#115` | | ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0.028; the null is 91% of the effect `#102` | | ""The √n accumulation across blocks reflects latent structure"" | "
README.md,**2.5%,"t have had one in the last five years, so that contradiction rate is a direct read on what the two ways of asking do differently: **2.5%** (n = 2,702). But the same contradiction computed for **live births** — a fact carrying "
README.md,1.6%,"ying no shame at all — is **1.6%** (n = 2,427), and the gap of 0.9 points sits inside its own resampling spread of 1.4 `[#569「地板是 1.6%」]`. ⚠ So the honest result is a **resolution, not an effect**: these two instruments alre"
README_zh.md,95%,"335**); 其余四个域里总有一对低得多(公平只有 **0.062** —— Entry 653)。 ⚠ **但「只有纯洁」这句话是那个选定的 0.30 造出来的,现在撤回了**:拿同一份问卷、同样六道题的 **全部 593,770 个随机块**当零,零的 95% 分位只有 **0.0299** —— **五个域全部高于它**, 纯洁 **11.23×** > 权威 5.68× > 内群 4.99× > 伤害 4.65× > 公平 2.08"
README_zh.md,95%,"` 那个「12/12」本身是用**未定向**的差算的 —— **也就是用它自己上一段刚刚诊断出来的那个缺陷算的。** **我命名了缺陷,然后把一个带着这个缺陷的数留给了下一轮。**  ---  ## 站得住的 **⟨…⟩** = **效应 ÷ 它自己那个零的 95% 分位**(算不出的写 `⟨—⟩`:8 条那一轮没持久化结果,10 条有输出但取不到配套的效应—零对)。 ⚠⚠ **而这一页所有的归一数都是低估,这一条是在合成世界里量出来的,不是"
README_zh.md,−28.5%,"8 条那一轮没持久化结果,10 条有输出但取不到配套的效应—零对)。 ⚠⚠ **而这一页所有的归一数都是低估,这一条是在合成世界里量出来的,不是假设的。** 真值已知、噪声已知、边际偏斜已知,4 档(与 GSS 同)· 27 格 · 每格 200 次:**生 −28.5% · 只归一 −22.2% · 只衰减 −16.6% · 两者复合 −9.5%** —— **四个全都低估,而复合最接近真值,两者的改善近似可加 ⇒ 它们修的不是同一件事,可以复合"
