q,n,r_u,r_rho,u_pass,rho_pass
biomale,9944,0.052922652781345426,0.0039363145040836114,True,False
animated,9564,-0.09210223823951852,-0.07773816570844373,True,True
written,9563,-0.06490646853635157,-0.03354574955068367,True,True
"""I am ashamed or embarrassed about at least some of what",9944,-0.08351541533262506,-0.04005708976000713,True,True
"""Engaging with or fantasizing about what arouses me feel",9942,0.007917696736725594,0.01699746094968629,False,False
"""I can get aroused by a partner doing what I like, even ",9943,-0.0018372577862791391,-0.02315463111287762,False,False
"""I've acted upon or experimented with all the things tha",9943,0.007681608933879232,-0.01863252567756481,False,False
"""I sometimes find people who have clearly reached sexual",9943,-0.10111898619425369,-0.07900854066108279,True,True
allrollidentity,7189,0.03870826266905143,0.004134058233899789,True,False
"""I find it erotic when two people of the opposite gender",9940,0.054979406469336994,0.03896456717760115,True,True
knowwhatarousesyou,9944,-0.005147702681225443,0.033024407120947806,False,False
highenergy,9714,0.020916866283572203,0.01842655788078587,False,False
"""I find the thought of existing (in *nonsexual* situatio",8266,-0.029666147656712834,-0.015281255052367484,False,False
"""I find the thought of existing (in *nonsexual* situatio",8266,0.027216917201010018,0.0008293181416321628,False,False
inducefetish,9455,0.028449104531537244,0.04630120740620135,False,True
"""I find the thought of masturbating alone as a biologica",8266,0.016017469203073783,0.01756273967656393,False,False
"""I find the thought of masturbating alone as a biologica",8266,0.013626129941591085,0.023269585285495525,False,False
"""If my partner is aroused by something, I can also be ar",9944,0.044204540137222234,0.025609042074676767,True,False
"""I am aroused by being dominant in sexual interactions"" ",9571,0.07726599229796595,0.019119397140458044,True,False
"""I am aroused by being submissive in sexual interactions",9570,-0.04951238761732227,-0.015032829641846598,True,False
age,9944,0.18176459989943192,0.15321693750745766,True,True
openness,9944,0.04536624513087908,0.03463989177659271,True,True
conscientiousness,9944,0.031550315543314895,0.02694234025341115,False,False
extroversion,9944,0.03686285337462413,0.028253597099743677,True,False
neuroticism,9944,-0.020314334903510194,-0.013857389883052719,False,False
agreeableness,9944,0.023466049877968253,0.03379075782579797,False,True
powerlessness,9944,-0.022635213505739455,-0.019177733975958806,False,False
关系风格,9941,0.020489447694387614,0.005793678924280365,False,False
0–14 岁被打屁股,9940,0.05910015843052959,0.04501669981281936,True,True
自评吸引力,9942,0.035210721986708125,0.010694296461715698,True,False
成长期性开放度,9942,-0.01789714899745578,-0.01531628252700939,False,False
