page,num,overlap,title,ctx
README.md,264,0,"把所有关于「一个人是谁」的东西加起来,平均只说中百分之一点四","ntracked and gitignored as of this commit. They remain in the commit history.  > ### How big is any of this? (`#264`, read this before anything else) > Every person-level dimension this "
README.md,301,0,1.4% 是样本内的;换到没见过的人身上是 1.09%,ry power are different > things — a quantity can stably measure something that hardly moves anything.** > ⚠ **`#301` `#302`:**in-sample 1.4% / out-of-sample 0.87%**. Held out — 5-fold pe
README.md,302,0,"嵌套 CV:0.869%,已发表数字的 37% 是拟合",r are different > things — a quantity can stably measure something that hardly moves anything.** > ⚠ **`#301` `#302`:**in-sample 1.4% / out-of-sample 0.87%**. Held out — 5-fold person-le
README.md,356,0,"六个坐标解释的东西里,中位 18% 与「你报了多少」共线","n **in the people they were built from**, 0.869% is what they deliver **on people they have never seen**. ⚠ **`#356`: and part of that 1.4% is co-linear with how much a person reported.*"
README.md,234,0,"羞耻改变一个人怎么看自己的欲望,但没有改变它的形状",rsive mix | value re-enters and reshapes the representation it acted on | > ### Where the three models stand (`#234c`) > **B is dead** (`#179`: position is not a stance-free coordinate — 
README.md,179,0,"「偏爱冷门」不是一个不带立场的坐标:控制内容之后,它仍然预测羞耻",s and reshapes the representation it acted on | > ### Where the three models stand (`#234c`) > **B is dead** (`#179`: position is not a stance-free coordinate — it comes with shame). > *
README.md,234,0,"羞耻改变一个人怎么看自己的欲望,但没有改变它的形状"," not a stance-free coordinate — it comes with shame). > **C's one distinguishing prediction is unsupported** (`#234a`: stratify by shame, match pick count, > and the breadth profile's spl"
README.md,229,0,"宽度有形状,而它的第一个名字是「体液」","**0.56–0.72**, against the position score's 0.432 — is *which domains a person opens in and > in what shape* (`#229`–`#232`). **None of A, B or C predicts it**, because all three ask wha"
README.md,232,0,"两条完全不同的路,通向同一种感觉","0.72**, against the position score's 0.432 — is *which domains a person opens in and > in what shape* (`#229`–`#232`). **None of A, B or C predicts it**, because all three ask what makes"
README.md,234,0,"羞耻改变一个人怎么看自己的欲望,但没有改变它的形状","'s completeness, not a refutation of A.   ---  ## The person-level dimensions this release actually supports  `#234c` found that the A/B/C decomposition does not cut this data at its join"
README.md,251,0,"这个项目花最多力气去证明的那个量,不是它手里最结实的那个",em in one place. **Every number below appears verbatim in `RETRACTIONS.md` — the round that built this table (`#251`) fails if one does not.** Empty cells say `UNCOMPUTED`; they are the 
README.md,259,0,"大体同一,而「大体」这个词这次是有数字的","mains you open in | **+0.6785** | blocks | **verified** (onset instrument, +0.1384) | +0.0830 | ~8–10/31  ⚠ **`#259`: this row and the breadth-type c3 row overlap heavily** — their outco"
