v_entry,n_solvers,solvers
25,1,#44
26,5,#73 #123 #124 #125
28,1,#44
33,0,
34,3,#35 #37 #62
41,0,
46,0,
48,0,
74,1,#75
92,1,#99
93,3,#94 #117 #322
111,20,#120 #122 #132 #222
112,1,#113
114,10,#119 #120 #127 #128
133,0,
144,1,#619
154,2,#167 #681
171,0,
172,1,#179
184,2,#230 #275
187,0,
194,3,#201 #202 #204
195,1,#201
211,3,#228 #239 #242
227,0,
234,1,#238
237,3,#243 #258 #277
253,1,#268
336,3,#337 #358 #368
350,1,#371
391,3,#393 #395 #398
426,1,#427
429,2,#469 #471
437,3,#438 #439 #443
449,1,#451
453,3,#454 #469 #471
466,1,#484
468,1,#469
480,0,
482,6,#484 #485 #491 #508
513,1,#515
514,1,#515
527,0,
532,3,#533 #534 #543
537,0,
538,1,#539
540,1,#543
544,0,
549,0,
552,1,#583
553,1,#583
556,0,
558,0,
560,0,
561,0,
569,0,
595,0,
602,0,
603,1,#619
616,1,#617
621,0,
629,0,
638,2,#639 #640
670,0,
672,0,
679,1,#868
684,0,
689,1,#691
696,1,#697
705,0,
706,0,
718,5,#719 #720 #721 #751
727,1,#744
728,2,#750 #782
731,0,
734,6,#738 #740 #741 #743
745,6,#746 #747 #748 #749
756,1,#757
761,1,#769
764,2,#765 #769
771,0,
772,1,#775
773,2,#798 #840
779,5,#780 #781 #782 #783
786,1,#789
787,1,#803
788,1,#789
792,4,#793 #796 #797 #798
795,2,#796 #811
801,5,#802 #803 #806 #808
804,3,#805 #811 #829
823,1,#824
828,1,#829
830,0,
837,2,#838 #844
848,1,#860
851,2,#855 #860
869,0,
870,0,
871,0,
872,0,
