page,pos,token,ctx,fixed_denom,effect_denom,has_interval,candidate
README.md,1402,1.4%,"very person-level dimension this project established, **entered together** against the same 29 > outcomes, explains a **median of 1.4%** of the variance — **7.8% at its best** (`animated`), **2.8%** > for shame. The degrees-",0,0,0,0
README.md,1427,**7.8%,"on this project established, **entered together** against the same 29 > outcomes, explains a **median of 1.4%** of the variance — **7.8% at its best** (`animated`), **2.8%** > for shame. The degrees-of-freedom floor is **0.14%",0,0,0,0
README.md,1462,**2.8%,"red together** against the same 29 > outcomes, explains a **median of 1.4%** of the variance — **7.8% at its best** (`animated`), **2.8%** > for shame. The degrees-of-freedom floor is **0.14%**, and the same pipeline reaches *",0,0,0,0
README.md,1516,**0.14%,"s a **median of 1.4%** of the variance — **7.8% at its best** (`animated`), **2.8%** > for shame. The degrees-of-freedom floor is **0.14%**, and the same pipeline reaches **49%** when a > deliberately strong predictor is added,",0,0,0,0
README.md,1557,**49%,"**7.8% at its best** (`animated`), **2.8%** > for shame. The degrees-of-freedom floor is **0.14%**, and the same pipeline reaches **49%** when a > deliberately strong predictor is added, so the machinery is not blind and the ",0,0,0,0
README.md,1862,0.14%,"led — **and they are small**. > **Two readings this does not license.** It does *not* mean the findings are empty (the floor is > 0.14%, and every dimension clears its own family-wise threshold). It does *not* mean sexual > p",0,0,0,0
README.md,1986,**1.4%," is > 0.14%, and every dimension clears its own family-wise threshold). It does *not* mean sexual > preference is mostly random — **1.4% is the reach of *these six coordinates*, not a ceiling on > explainability**. ⚠ And note ",0,0,0,0
README.md,2198,0.715%,"*. ⚠ And note the ordering: the *least reliable* standing dimension (position, 0.432) > contributes the *largest* incremental R² (0.715%). **Reliability and explanatory power are different > things — a quantity can stably meas",0,0,0,0
README.md,2370,1.4%,er are different > things — a quantity can stably measure something that hardly moves anything.** > ⚠ **`#301` `#302`:**in-sample 1.4% / out-of-sample 0.87%**. Held out — 5-fold person-level cross-validation with the six coo,0,0,0,0
README.md,2391,0.87%,ings — a quantity can stably measure something that hardly moves anything.** > ⚠ **`#301` `#302`:**in-sample 1.4% / out-of-sample 0.87%**. Held out — 5-fold person-level cross-validation with the six coordinates **re-estimate,0,0,0,0
README.md,2549,**0.869%,"erson-level cross-validation with the six coordinates **re-estimated inside every fold** — the same pipeline delivers a median of **0.869%**; with the coordinates held fixed it is 1.087%, and ridge-CV 1.056%. On 2 of the 29 outc",0,0,0,0
README.md,2599,1.087%,"tes **re-estimated inside every fold** — the same pipeline delivers a median of **0.869%**; with the coordinates held fixed it is 1.087%, and ridge-CV 1.056%. On 2 of the 29 outcomes the held-out R² is **negative**. **Over a t",0,0,0,0
README.md,2620,1.056%,"side every fold** — the same pipeline delivers a median of **0.869%**; with the coordinates held fixed it is 1.087%, and ridge-CV 1.056%. On 2 of the 29 outcomes the held-out R² is **negative**. **Over a third of the published",0,0,0,0
README.md,2925,1.390%,"LIBER.md) (**0.52pp**, against 0.18pp for every analysis knob). Both numbers are legitimate and they answer different questions — 1.390% is what these coordinates explain **in the people they were built from**, 0.869% is what ",0,0,0,0
README.md,3006,0.869%,"legitimate and they answer different questions — 1.390% is what these coordinates explain **in the people they were built from**, 0.869% is what they deliver **on people they have never seen**. ⚠ **`#356`: and part of that 1.4",0,0,0,0
README.md,3099,1.4%,"n the people they were built from**, 0.869% is what they deliver **on people they have never seen**. ⚠ **`#356`: and part of that 1.4% is co-linear with how much a person reported.** Adding ""how many onset categories you fil",0,0,0,0
README.md,3367,**18.2%,"ommonality decomposition across all 29 outcomes, the shared component is positive for **22 of 29** outcomes, median **0.345pp** — **18.2% of the median outcome's explained variance** — and it grows with how well the outcome is ",0,0,0,0
README.md,6338,**86%,"e c3 row overlap heavily** — their outcome profiles correlate **+0.7826** against an attenuation ceiling of 0.9142 ± 0.0171, i.e. **86% of ceiling**, resolvably below it (7.7× the spread) but by only 0.13 in absolute terms. T",0,0,1,0
README.md,8210,**59.6%,"ghtness, BMI, partner count, pick count, porn habit, self-reported honesty), a commonality decomposition on shame leaves c3⁻ with **59.6%** of its own R² (unique 0.996pp of 1.671pp; shared **+0.674pp** against a row-permutation",0,1,0,1
