path,line,literal,text
E01_sexual_as_a_value_not_a_category/A01_can_this_release_answer_the_question/R010_joint_factorisation/run.py,61,80%,"held-out cell R2 (rank 8, trained on 80% of cells) :"
E01_sexual_as_a_value_not_a_category/A01_can_this_release_answer_the_question/R014_erotic_covariates/run.py,111,40%,"% (>40%) : republish as a decomposition, not a single percentage"
E01_sexual_as_a_value_not_a_category/A01_can_this_release_answer_the_question/R014_erotic_covariates/run.py,112,20%,% (<20%) : the original 73% figure stands
E01_sexual_as_a_value_not_a_category/A01_can_this_release_answer_the_question/R014_erotic_covariates/run.py,112,73%,% (<20%) : the original 73% figure stands
E01_sexual_as_a_value_not_a_category/A01_can_this_release_answer_the_question/R022_accumulation_curve/run.py,98,+0.0409,(a) n=31 reproduces #59's +0.0409 :
E01_sexual_as_a_value_not_a_category/A01_can_this_release_answer_the_question/R023_are_blocks_interchangeable/run.py,116,+0.0225,(a) n=8 mean reproduces #60's +0.0225 :
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R040_discriminant_validity/run.py,133,50%,-> all pairs below 50% of ceiling (max
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R041_whitened_discriminant/run.py,90,50%,-> all pairs below 50% (max
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R042_why_the_gate_failed/run.py,44,95%,95% band [
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R042_why_the_gate_failed/run.py,45,+0.44,the single draw R16/R17 relied on was +0.44 = the
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R044_additivity_variance_decomposition/run.py,118,50%,% of the main effect (>50%) : ADDITIVITY REFUTED in the folk basis; A_i required
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R044_additivity_variance_decomposition/run.py,119,20%,"% (<20%) : ADDITIVITY HOLDS, R11-R13 upgraded from PLAUSIBLE"
E01_sexual_as_a_value_not_a_category/A03_is_acquisition_the_same_system_as_valuation/R052_intensity_leakage/run.py,92,+0.621,raw (previous iteration)                        : +0.621
E01_sexual_as_a_value_not_a_category/A03_is_acquisition_the_same_system_as_valuation/R058_synthetic_rival_world/run.py,98,95%,95% [
E01_sexual_as_a_value_not_a_category/A03_is_acquisition_the_same_system_as_valuation/R058_synthetic_rival_world/run.py,119,95%,inside 95% [
E01_sexual_as_a_value_not_a_category/A03_is_acquisition_the_same_system_as_valuation/R059_schedule_specification_curve/run.py,91,-0.55,negative control in every cell within 0.45-0.55 :
