path,line,literal,text,is_reference
E01_sexual_as_a_value_not_a_category/A01_can_this_release_answer_the_question/R014_erotic_covariates/run.py,111,40%,"% (>40%) : republish as a decomposition, not a single percentage",False
E01_sexual_as_a_value_not_a_category/A01_can_this_release_answer_the_question/R014_erotic_covariates/run.py,112,20%,% (<20%) : the original 73% figure stands,False
E01_sexual_as_a_value_not_a_category/A01_can_this_release_answer_the_question/R014_erotic_covariates/run.py,112,73%,% (<20%) : the original 73% figure stands,False
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R040_discriminant_validity/run.py,133,50%,-> all pairs below 50% of ceiling (max,False
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R041_whitened_discriminant/run.py,90,50%,-> all pairs below 50% (max,False
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R042_why_the_gate_failed/run.py,44,95%,95% band [,False
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R042_why_the_gate_failed/run.py,45,+0.44,the single draw R16/R17 relied on was +0.44 = the,False
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R044_additivity_variance_decomposition/run.py,118,50%,% of the main effect (>50%) : ADDITIVITY REFUTED in the folk basis; A_i required,False
E01_sexual_as_a_value_not_a_category/A02_what_basis_should_the_ontology_be_written_in/R044_additivity_variance_decomposition/run.py,119,20%,"% (<20%) : ADDITIVITY HOLDS, R11-R13 upgraded from PLAUSIBLE",False
E01_sexual_as_a_value_not_a_category/A03_is_acquisition_the_same_system_as_valuation/R052_intensity_leakage/run.py,92,+0.621,raw (previous iteration)                        : +0.621,False
E01_sexual_as_a_value_not_a_category/A03_is_acquisition_the_same_system_as_valuation/R058_synthetic_rival_world/run.py,98,95%,95% [,False
E01_sexual_as_a_value_not_a_category/A03_is_acquisition_the_same_system_as_valuation/R058_synthetic_rival_world/run.py,119,95%,inside 95% [,False
E01_sexual_as_a_value_not_a_category/A03_is_acquisition_the_same_system_as_valuation/R059_schedule_specification_curve/run.py,91,-0.55,negative control in every cell within 0.45-0.55 :,False
E01_sexual_as_a_value_not_a_category/A03_is_acquisition_the_same_system_as_valuation/R062_onset_rsa_framing_swap/run.py,72,+0.599,"published RSA framing: corr(onset-similarity, preference-similarity) = +0.599, z about 11",False
E01_sexual_as_a_value_not_a_category/A03_is_acquisition_the_same_system_as_valuation/R068_the_tie_bias/run.py,85,66.7%,points): 66.7% generalises,False
E01_sexual_as_a_value_not_a_category/A04_what_may_never_be_used_as_a_measure/R077_timing_mde/run.py,54,+0.0151,OBSERVED concentration rho = +0.0151 (p=0.15),False
E01_sexual_as_a_value_not_a_category/A04_what_may_never_be_used_as_a_measure/R077_timing_mde/run.py,40,35%,yr in 35% of a 'totally different' person's interests -> rho =,False
E01_sexual_as_a_value_not_a_category/A04_what_may_never_be_used_as_a_measure/R078_single_interest_power/run.py,36,+0.0151,OBSERVED                     +0.0151 (p=0.15)     +0.0614,False
E01_sexual_as_a_value_not_a_category/A04_what_may_never_be_used_as_a_measure/R078_single_interest_power/run.py,36,+0.0614,OBSERVED                     +0.0151 (p=0.15)     +0.0614,False
