q,c_before,c_after,sd,retained,clears
biomale,0.07692705662478634,-0.01716173566272773,0.01174130505056924,-0.22309102175109247,False
animated,-0.08615388381661886,-0.046110565926454565,0.013209247665104494,0.5352116919604263,True
written,-0.05914326784665457,-0.04892526777511827,0.01205673369742928,0.8272330825880416,True
"""I am ashamed or embarrassed about at least some of what aro",0.023092750305281445,-0.008839446730150842,0.01271522350968918,-0.3827801631808754,False
"""Engaging with or fantasizing about what arouses me feels th",-0.005713046552840297,0.001980003139261172,0.012846709593401152,-0.3465757054398225,False
"""I can get aroused by a partner doing what I like, even if I",0.02311812736045002,-0.013303220650783393,0.012241062695045114,-0.5754454261525632,False
"""I've acted upon or experimented with all the things that ar",0.02128600532567229,0.02105231314797256,0.012136516452567353,0.9890213229713946,False
"""I sometimes find people who have clearly reached sexual mat",-0.00636565412635888,0.005116493219684222,0.01178097202298209,-0.803765507538002,False
allrollidentity,-0.04225618029226818,-0.0376866436521762,0.0148028168186062,0.8918611050860153,True
"""I find it erotic when two people of the opposite gender to ",0.03404454697095248,-0.04539603218620284,0.01297798253889528,-1.3334303500920628,True
knowwhatarousesyou,0.04405898304300521,0.029464059101107772,0.01219498868186385,0.6687412433543555,False
highenergy,-0.023361718829784127,-0.018633955368102046,0.011975644876282334,0.7976277560684191,False
"""I find the thought of existing (in *nonsexual* situations) ",-0.028324418250422905,-0.010809740489940524,0.014147684960445751,0.38164033571207157,False
"""I find the thought of existing (in *nonsexual* situations) ",0.01275609633934508,-0.011395327817506653,0.013134422108890468,-0.8933240635976342,False
inducefetish,0.020388767966933306,-0.010511806928438148,0.011176135149314615,-0.5155685201521885,False
"""I find the thought of masturbating alone as a biological fe",-0.015781861466816732,-0.031852454692969885,0.014136432257544315,2.0182951649869385,False
"""I find the thought of masturbating alone as a biological ma",-0.0400696468142219,-0.04054346704095616,0.012401961040825152,1.0118249164743347,True
"""If my partner is aroused by something, I can also be arouse",0.028693867739779,0.01086258329638289,0.010293165583054984,0.37856811061144713,False
"""I am aroused by being dominant in sexual interactions"" (6w3",-0.015582667561439566,-0.025496106455039233,0.012659993456992038,1.6361836864267827,False
"""I am aroused by being submissive in sexual interactions"" (x",-0.047562662636645166,-0.05569136284434811,0.012247414972125456,1.170905070428923,True
