page,num,sub,pos,ctx,title,resolves,overlap
README.md,264,,1229,"ntracked and gitignored as of this commit. They remain in the commit history.  > ### How big is any of this? (`#264`, read this before anything else) > Every person-level dimension this ","把所有关于「一个人是谁」的东西加起来,平均只说中百分之一点四",1,0
README.md,301,,2344,ry power are different > things — a quantity can stably measure something that hardly moves anything.** > ⚠ **`#301` `#302`:**in-sample 1.4% / out-of-sample 0.87%**. Held out — 5-fold pe,1.4% 是样本内的;换到没见过的人身上是 1.09%,1,0
README.md,302,,2351,r are different > things — a quantity can stably measure something that hardly moves anything.** > ⚠ **`#301` `#302`:**in-sample 1.4% / out-of-sample 0.87%**. Held out — 5-fold person-le,"嵌套 CV:0.869%,已发表数字的 37% 是拟合",1,0
README.md,356,,3074,"n **in the people they were built from**, 0.869% is what they deliver **on people they have never seen**. ⚠ **`#356`: and part of that 1.4% is co-linear with how much a person reported.*","六个坐标解释的东西里,中位 18% 与「你报了多少」共线",1,0
README.md,234,c,4229,rsive mix | value re-enters and reshapes the representation it acted on | > ### Where the three models stand (`#234c`) > **B is dead** (`#179`: position is not a stance-free coordinate — ,"羞耻改变一个人怎么看自己的欲望,但没有改变它的形状",1,0
README.md,179,,4255,s and reshapes the representation it acted on | > ### Where the three models stand (`#234c`) > **B is dead** (`#179`: position is not a stance-free coordinate — it comes with shame). > *,"「偏爱冷门」不是一个不带立场的坐标:控制内容之后,它仍然预测羞耻",1,0
README.md,234,a,4384," not a stance-free coordinate — it comes with shame). > **C's one distinguishing prediction is unsupported** (`#234a`: stratify by shame, match pick count, > and the breadth profile's spl","羞耻改变一个人怎么看自己的欲望,但没有改变它的形状",1,0
README.md,229,,4849,"**0.56–0.72**, against the position score's 0.432 — is *which domains a person opens in and > in what shape* (`#229`–`#232`). **None of A, B or C predicts it**, because all three ask wha","宽度有形状,而它的第一个名字是「体液」",1,0
README.md,232,,4856,"0.72**, against the position score's 0.432 — is *which domains a person opens in and > in what shape* (`#229`–`#232`). **None of A, B or C predicts it**, because all three ask what makes","两条完全不同的路,通向同一种感觉",1,0
README.md,234,c,5229,"'s completeness, not a refutation of A.   ---  ## The person-level dimensions this release actually supports  `#234c` found that the A/B/C decomposition does not cut this data at its join","羞耻改变一个人怎么看自己的欲望,但没有改变它的形状",1,0
README.md,251,,5605,em in one place. **Every number below appears verbatim in `RETRACTIONS.md` — the round that built this table (`#251`) fails if one does not.** Empty cells say `UNCOMPUTED`; they are the ,"这个项目花最多力气去证明的那个量,不是它手里最结实的那个",1,0
README.md,259,,6172,"mains you open in | **+0.6785** | blocks | **verified** (onset instrument, +0.1384) | +0.0830 | ~8–10/31  ⚠ **`#259`: this row and the breadth-type c3 row overlap heavily** — their outco","大体同一,而「大体」这个词这次是有数字的",1,0
README.md,255,,6849,"*clarity** gives +0.0148 ± 0.0116 (1.3×, one seed) | **8 of 29, read as 3–13** across six option-split seeds (`#255` — ⚠ `#254`'s ""predicts nothing"" is **withdrawn**: that reading came f","我说它「什么都不预测」,只是因为我抽到了一个不巧的种子",1,0
README.md,254,,6860,"gives +0.0148 ± 0.0116 (1.3×, one seed) | **8 of 29, read as 3–13** across six option-split seeds (`#255` — ⚠ `#254`'s ""predicts nothing"" is **withdrawn**: that reading came from one unl","一个没有功效证明的零,和一个 UNCOMPUTED 只差一点点",1,0
README.md,228,b,7005,thdrawn**: that reading came from one unlucky seed) | pick count controlled · block-level property ruled out (`#228b`) | | Breadth type c1 | **+0.6429** | blocks | untested | `UNCOMPUTED`,"「对什么都说是」的人,其实不是对什么都说是",1,0
README.md,257,,7125," | Breadth type c1 | **+0.6429** | blocks | untested | `UNCOMPUTED` | 13 → **9 after control, read as 6–12** (`#257`) | **pick count · sex · position S all controlled** (`#252`) | | Brea","三个数字一个都没错,但它们此前给出的精度窄了大约一半",1,0
README.md,252,,7185,"MPUTED` | 13 → **9 after control, read as 6–12** (`#257`) | **pick count · sex · position S all controlled** (`#252`) | | Breadth type c2 | **+0.5778** | blocks | untested | `UNCOMPUTED`","一个由特征分解定义的成分,不能用种入强度扫描去做正对照",1,0
README.md,257,,7303,"| | Breadth type c2 | **+0.5778** | blocks | untested | `UNCOMPUTED` | 11 → **6 after control, read as 4–8** (`#257`) | **pick count · sex · position S all controlled** (`#252`) | | **Br","三个数字一个都没错,但它们此前给出的精度窄了大约一半",1,0
README.md,252,,7363,"OMPUTED` | 11 → **6 after control, read as 4–8** (`#257`) | **pick count · sex · position S all controlled** (`#252`) | | **Breadth type c3 — *where you spend your openness*** | **+0.563","一个由特征分解定义的成分,不能用种入强度扫描去做正对照",1,0
README.md,258,,7506,"where you spend your openness*** | **+0.5631** | blocks | **name verified** on the disjoint onset instrument (`#258`: +0.1815 with its transgressive half, **−0.1086** with its ordinary h","c3 有名字了:不是「你有多开放」,是「你把开放花在哪儿」",1,0
README.md,257,,7656,"alf, **−0.1086** with its ordinary half, gap 18.6×) | **+0.1286** | 21 → **19 after control, read as 17–21** (`#257`) | correlates only +0.2036 with position; both survive jointly; total","三个数字一个都没错,但它们此前给出的精度窄了大约一半",1,0
README.md,366,,7794,.2036 with position; both survive jointly; total category count controlled — the gap **grows** to +0.4905 ⚠ **`#366`: and this route is not as clean as the other two.** Against a panel o,`c3⁻` 那份羞耻不是独有的;而咬掉它的五个量说的是同一种人,1,0
README.md,367,,8755,"less agency, together carrying about 40% of this route's shame. The other 60% none of the twenty can see. ⚠ **`#367`: that 40% is ONE dimension, not twenty — but half of the sentence abo","那 40% 是**一个**维度,不是二十个;而「同一种人」里有一半是我读出来的",1,0
README.md,369,,9758,"information.** 16 of the 20 variables are same-signed, so a random 5-subset agrees **28.2%** of the time. ⚠ **`#369`: and the sharing is uniform along that line — the two numbers above a","换估计量,不换问题:那 92% 真的是摊在整条线上",1,0
README.md,368,,9934,"rs above are not in tension.** A quintile split had no power to say so (MDE +0.20 against a meaningful +0.05, `#368`), so the question was re-estimated as a single interaction on all 6,6","「均匀」我报不了;而我把标签写反了,又造了一个永远不会开火的判据",1,0
README.md,347,,10809,": a variable that genuinely **is** c3⁻ plus equal-magnitude noise leaves 54.8%. ⚠ c3⁻ is estimated in-sample (`#347`), so the absolute pp is an upper bound; the retained fraction is the ",把口径注写进页面上那个 `+0.1185`,1,0
README.md,114,,11127,"/a (blocks carry no time) | `UNCOMPUTED` | 11/31 | current age controlled (+0.0226) · recall bias controlled (`#114` — **`#452` corrects this citation, which read `#289`; that entry is a","记忆把心爱的兴趣往前拉,约 0.74 年;这是这个数据集里第一个被直接量出来的回忆偏差",1,0
README.md,452,,11138,"carry no time) | `UNCOMPUTED` | 11/31 | current age controlled (+0.0226) · recall bias controlled (`#114` — **`#452` corrects this citation, which read `#289`; that entry is about measur","读出来的两件事,比跑出来的那一件更值钱",1,0
README.md,289,,11180,"rrent age controlled (+0.0226) · recall bias controlled (`#114` — **`#452` corrects this citation, which read `#289`; that entry is about measurement invariance by sex**) · 56% survives ","S 不是性别,但 S 在两个人群里意味着不同的东西",1,0
README.md,277,,11549," all six coordinates) | **verified** — +0.0799 on the disjoint onset instrument, 3.9× its permutation spread (`#277`) | **+0.0454**, but its increment over the six is **+0.21 ± 0.13pp — ","那个东西现在可以拿在手里了,即使仍然叫不出名字",1,0
README.md,278,,11646,"tion spread (`#277`) | **+0.0454**, but its increment over the six is **+0.21 ± 0.13pp — indistinguishable** (`#278`) | **9–11 of 27** (its own two items excluded) | the six coordinates ","这个项目找到的每一样东西最后都指向羞耻,除了这一个",1,0
README.md,277,,11813,"he six coordinates are removed by construction; its correlation with `c3⊥D` is an **identity**, not evidence (`#277`); it shares only +0.1212 of profile with `rate⊥rho` on the disjoint i","那个东西现在可以拿在手里了,即使仍然叫不出名字",1,0
README.md,283,,11900,"ntity**, not evidence (`#277`); it shares only +0.1212 of profile with `rate⊥rho` on the disjoint instrument (`#283`) | | ~~Accumulation rate~~ | +0.6931 | onset ages | n/a | `UNCOMPUTED","同一道题,两条互不相干的路",1,0
README.md,288,,12511,"> ⚠ **This table is built on the pooled sample, and the six coordinates are not the same thing in the two ⚠ **`#288`: dropping every item that mentions male/female/gender halves this but","不是几道题的问题,是整套结构的问题",1,0
README.md,293,,13069," correlation, so it is `UNCOMPUTED`, not zero, and the ""half"" is a subtraction (`D5`), not a measurement. ⚠ **`#293`–`#294`: the two groups do not even agree on what counts as uncommon.*","他们眼里什么算冷门,本身就不一样",1,0
README.md,294,,13076,"ation, so it is `UNCOMPUTED`, not zero, and the ""half"" is a subtraction (`D5`), not a measurement. ⚠ **`#293`–`#294`: the two groups do not even agree on what counts as uncommon.** The r","换成组内的尺子,差一点没动",1,0
README.md,296,,13786,"e and neither causes the other** — the difference is not in the ruler, it is in the thing being measured. ⚠ **`#296`: the outcome side is not yet controlled.** A group difference in the ","看上去是十轮站住了,但正对照说这句不能说",1,0
README.md,381,,14302,".5%**), so it is UNVERIFIED, not a confirmation. **The sex non-invariance is reported here at D5, not D6. ⚠ **`#381`: and it cannot be localised to the position score S — not because it ",合成正对照会让我报出这个零;真实数据上的正对照拦住了它,1,0
README.md,380,,14618,"(|t| 1.16) against a family-wise threshold of 2.38 — but in the same model and the same run, **`EARLY`, which `#380` established as genuinely different, reaches only |t| 1.73 and also fa","性兴趣来得早,在非生理男的人身上带来的羞耻大约是两倍(独立确认,五门全过)",1,0
