v_out,n,ins,adj,cv,ridge,lam
animated,4563,0.07555228512422096,0.07433483861648293,0.07248165656663963,0.07254505139545686,100.0
written,4563,0.021432296041245413,0.020143576501352456,0.018226671043698905,0.018197133466708704,1000.0
"""I am ashamed or embarrassed about at least ",4718,0.027877456300756,0.02663934650194577,0.025063354576812413,0.024720538246594037,1000.0
"""Engaging with or fantasizing about what aro",4716,0.01675069576195698,0.015497882887582803,0.01418830605493493,0.01422546019719051,100.0
"""I've acted upon or experimented with all th",4717,0.019789358491261066,0.018540682514816775,0.01687292967445697,0.01693112095224203,100.0
"""I sometimes find people who have clearly re",4717,0.035216242451866386,0.03398721855690057,0.032185744610384925,0.032251294229934224,100.0
allrollidentity,3442,0.02385208131241978,0.02214701944571662,0.020439642223130994,0.020533190738850404,100.0
"""I find it erotic when two people of the opp",4715,0.042416400330674064,0.041196030407561146,0.039778958013754084,0.03979610143366619,100.0
knowwhatarousesyou,4718,0.008941819625057135,0.007679593116407313,0.0065015811436606175,0.0064336504968520725,1000.0
highenergy,4615,0.01339271235268591,0.012108067446895077,0.008980706139105621,0.009378480191307381,1000.0
"""I find the thought of existing (in *nonsexu",3919,0.014271080490791843,0.012759226319765449,0.008293743811966903,0.008502658945838126,100.0
"""I find the thought of existing (in *nonsexu",3919,0.009852898512105801,0.008334267988351352,0.005043126507127793,0.00520793480496784,1000.0
inducefetish,4595,0.031210480038146304,0.029943536463653775,0.028455245674589125,0.028521365688584432,100.0
"""I find the thought of masturbating alone as",3919,0.013903196417225594,0.012390778006822534,0.01087090310346106,0.010561163943037077,1000.0
"""I find the thought of masturbating alone as",3919,0.020585787961682644,0.01908361892481414,0.01596866782653472,0.016176787322985442,100.0
"""If my partner is aroused by something, I ca",4718,0.022997809522238843,0.02175348493237128,0.01988843859557654,0.019945555054271646,100.0
"""I am aroused by being dominant in sexual in",4521,0.04337338401529878,0.04210183778226628,0.03972677759498178,0.03979979902575337,100.0
"""I am aroused by being submissive in sexual ",4520,0.0073154795325764965,0.005995712831312505,0.004703245839174919,0.004923830865894208,1000.0
age,4718,0.011667831781730031,0.010409077162899738,0.00799549317012238,0.008180859698159737,1000.0
openness,4718,0.003819689934877357,0.0025509398053101817,0.00169686102606037,0.0017893730634139793,1000.0
conscientiousness,4718,0.005545039483089154,0.004278486784489832,0.003245135548821776,0.00357286112792754,1000.0
extroversion,4718,0.01611462990126855,0.01486153879097507,0.012694398409816787,0.012811257505465856,100.0
neuroticism,4718,0.009368272157466495,0.008106588785134705,0.005342268616331469,0.005489708525330372,100.0
agreeableness,4718,0.006347415647418364,0.005081884867092379,0.0035621333084534523,0.004014157645422678,1000.0
powerlessness,4718,0.009501777370329312,0.00824026403223177,0.007188818722864587,0.007249859368690048,100.0
关系风格,4718,0.013396383299449255,0.012139830189663026,0.011209653687696886,0.011262155074688418,100.0
0–14 岁被打屁股,4716,0.00319633188739743,0.0019262486407046753,-0.000579955712159963,0.0002695799853357217,1000.0
成长期性开放度,4718,0.002849421289874643,0.0015794354116617226,-0.00048732471052481685,0.00015248895084163383,1000.0
