q,n,r_rho,r_disatt,sd,ratio
"""I sometimes find people who have clearly reached sexual mat",9943,-0.07900854066108279,-0.16064936282912304,0.009644070406737244,8.192447517376923
animated,9564,-0.07773816570844373,-0.15806628858185917,0.010528044839845235,7.383912862360729
inducefetish,9455,0.04630120740620134,0.0941450051575143,0.01026582717512678,4.510226659414762
"""I am ashamed or embarrassed about at least some of what aro",9944,-0.04005708976000715,-0.08144873823626887,0.010919636311618644,3.668353836783543
"""I find it erotic when two people of the opposite gender to ",9940,0.038964567177601155,0.07922729413324668,0.010492578991142188,3.713535748503295
written,9563,-0.03354574955068368,-0.06820912329035311,0.011100407140123576,3.022028753290416
knowwhatarousesyou,9944,0.03302440712094779,0.06714906916896227,0.009447743429035938,3.495480944100707
"""If my partner is aroused by something, I can also be arouse",9944,0.025609042074676756,0.052071285680479515,0.009544290814812232,2.683179145687062
"""I find the thought of masturbating alone as a biological ma",8266,0.023269585285495525,0.04731442978359096,0.010896528061173767,2.13550455290517
"""I can get aroused by a partner doing what I like, even if I",9943,-0.02315463111287762,-0.047080691577175614,0.009457214765366713,2.4483562747958567
"""I am aroused by being dominant in sexual interactions"" (6w3",9571,0.019119397140458048,0.038875784093611025,0.00940277016270022,2.0333791860937582
"""I've acted upon or experimented with all the things that ar",9943,-0.01863252567756482,-0.037885820355019834,0.009507805444885144,1.9597083454824422
highenergy,9714,0.01842655788078587,0.03746702265240443,0.010193253721238011,1.807720908819671
"""I find the thought of masturbating alone as a biological fe",8266,0.017562739676563927,0.03571060691624077,0.011863834221610253,1.480359498329215
"""Engaging with or fantasizing about what arouses me feels th",9942,0.016997460949686297,0.03456121640055845,0.010044042750040155,1.6922927722124983
"""I find the thought of existing (in *nonsexual* situations) ",8266,-0.015281255052367488,-0.031071626774159304,0.01093789602379746,1.3970927332935172
"""I am aroused by being submissive in sexual interactions"" (x",9570,-0.015032829641846601,-0.03056649930848518,0.010102396632955656,1.4880458754516797
allrollidentity,7189,0.004134058233899782,0.00840584847685488,0.011575533095904507,0.3571376108252359
biomale,9944,0.0039363145040836305,0.008003772904611503,0.009782147048099443,0.40239780538245035
"""I find the thought of existing (in *nonsexual* situations) ",8266,0.0008293181416321611,0.0016862661925037157,0.010042454613307526,0.08258121879218747
