v_round,n_eig,multi,cmp,algn,signed,absonly,invar
R010_joint_factorisation,2,True,True,False,False,False,True
R012_leave_one_block_out,1,True,False,False,False,False,False
R041_whitened_discriminant,2,True,False,False,False,False,True
R058_synthetic_rival_world,1,False,False,False,False,False,True
R060_rival_world_full_categories,1,True,False,False,False,False,True
R351_admission_threshold,1,True,True,True,False,True,True
R352_retro_scan,6,True,True,True,False,True,True
R181_does_it_arrive_as_a_package,1,False,False,False,True,False,True
R182_do_they_have_different_extern,1,False,False,False,True,False,True
R185_what_are_the_extra_dimensions,1,True,False,False,False,False,True
R191_split_delta_by_the_content_li,1,False,False,False,True,False,True
R208_position_or_content,1,False,True,False,False,False,False
R210_how_big_is_the_content_side,1,True,True,False,False,False,False
R224_shame_and_the_position,1,True,False,True,False,False,False
R230_is_it_shame_or_a_general_fact,1,True,False,False,False,False,False
R232_content_residual_against_sham,1,True,False,False,True,False,False
R233_ten_outcomes_three_terms,1,True,False,False,False,False,False
R234_two_loading_vectors,1,True,False,False,False,False,False
R235_raw_content_or_algebra,1,True,False,True,True,False,False
R236_desex_the_content_score,1,True,False,False,True,False,False
R237_matched_conditioning_both_sid,1,True,False,False,False,False,False
R245_three_predictors_one_outcome,1,True,False,False,False,False,False
R246_is_animated_written_one_axis,1,True,False,True,False,False,False
R247_representation_or_live,1,True,False,True,False,False,False
R248_look_at_the_loadings,1,True,False,True,False,False,False
R249_do_the_loadings_replicate,1,True,True,False,False,False,True
R250_pairwise_block_pc_correlation,1,True,False,True,False,False,False
R251_non_likert_panel,1,True,False,False,False,False,False
R271_content_structure_by_position,1,True,True,False,True,False,True
R272_align_the_block_signs_and_see,2,True,False,True,False,False,True
R274_is_the_breadth_profile_one_di,2,True,True,False,True,False,False
R275_do_the_breadth_types_predict_,1,True,False,False,False,False,True
R277_two_levels_one_mechanism_or_t,1,True,True,False,False,False,True
R278_how_wide_is_n_over_31,1,True,True,False,False,False,True
R281_rebuild_the_shape_on_the_onse,1,True,True,False,False,False,False
R282_dose_response_for_the_person_,1,True,True,False,True,False,False
R297_do_the_breadth_types_survive_,1,True,False,False,False,False,True
R300_subtractive_power_for_the_fou,1,True,True,False,False,False,True
R302_reissue_the_public_counts_wit,1,True,True,False,False,True,True
R303_transgressive_half_on_the_ons,1,True,True,False,True,False,True
R304_are_c3_and_D_the_same_thing,1,True,False,False,False,False,True
R305_c3_orthogonal_to_D,1,True,False,False,True,False,True
R306_present_other_versus_not,1,True,False,False,False,False,True
R307_let_the_data_name_it,1,True,False,False,False,False,True
R308_regress_out_the_named_candida,1,True,False,False,False,False,True
R309_joint_r2_of_the_standing_dime,1,True,False,False,False,False,True
R311_residual_spectrum_after_six_c,1,True,False,False,False,False,True
R312_which_layer_gives_out_first,1,True,False,False,False,False,True
R314_partial_disattenuation_done_r,2,True,False,False,False,False,True
R315_shared_measurement_error,1,True,True,False,False,False,True
R316_decide_the_caliber,1,True,False,False,False,False,True
R317_caliber_list_and_table_note,1,True,False,False,False,False,True
R319_atypicality_versus_six_coordi,1,True,True,False,False,False,True
R320_naive_rival_across_all_outcom,1,True,False,False,True,False,True
R321_three_form_outcomes_residual_,1,True,False,False,False,False,True
R322_can_the_nameless_thing_be_hel,1,True,False,False,False,False,True
R323_form_and_shame,1,True,True,False,True,False,True
R324_what_does_form_point_at,1,True,False,False,False,False,True
R328_rate_residual_and_form,1,True,False,False,True,False,True
R330_measurement_invariance_by_sex,1,True,True,False,False,False,True
R331_invariance_at_the_joint_level,1,True,True,False,False,False,True
R332_put_non_invariance_on_the_pag,1,True,False,False,True,False,True
R333_gender_referential_split,1,True,True,False,False,False,True
R334_leave_one_out_which_coordinat,1,True,True,False,False,False,True
R337_removal_curve,1,True,False,False,False,False,True
R339_within_group_ruler,1,True,False,False,True,False,True
R340_rarity_or_count,1,True,True,False,False,False,True
R341_response_style_partial,1,True,False,False,False,False,True
R342_bootstrap_noise_floor,1,True,False,False,False,False,True
R346_estimator_knob,1,True,True,False,False,False,True
R347_nested_cv,1,True,True,True,False,False,True
R349_eigenvector_reproducibility,1,True,True,False,True,True,True
R350_repro_vs_n,1,True,True,False,False,True,True
