col,nuniq,n,ordered,used,construction,vals
age,0,0,0,1,1,[]
"As an adult, have you been the victim of sexual assault? (ld0srat)",0,0,0,0,0,[]
"Personally, your preferred relationship style is: (4jib23m)",0,0,0,0,0,[]
sexcount,1,4524,0,0,1,[np.float64(0.0)]
Have you ever had a sexual experience with someone else who did not want the experience? (,0,0,0,0,0,[]
"How ""sexually liberated"" was your upbringing? (fs700v2)",0,0,0,0,0,[]
"From the ages of 0-14, how often were you spanked as a form of discipline? (p957nyk)",0,0,0,0,1,[]
opennessvariable,13,15503,1,0,0,"[np.float64(-6.0), np.float64(-5.0), np.float64(-4.0), np.float64(-3.0), np.float64(-2.0), np.float64(-1.0)]"
consciensiousnessvariable,13,15503,1,0,0,"[np.float64(-6.0), np.float64(-5.0), np.float64(-4.0), np.float64(-3.0), np.float64(-2.0), np.float64(-1.0)]"
extroversionvariable,13,15503,1,0,0,"[np.float64(-6.0), np.float64(-5.0), np.float64(-4.0), np.float64(-3.0), np.float64(-2.0), np.float64(-1.0)]"
neuroticismvariable,13,15503,1,0,1,"[np.float64(-6.0), np.float64(-5.0), np.float64(-4.0), np.float64(-3.0), np.float64(-2.0), np.float64(-1.0)]"
agreeablenessvariable,13,15503,1,0,0,"[np.float64(-6.0), np.float64(-5.0), np.float64(-4.0), np.float64(-3.0), np.float64(-2.0), np.float64(-1.0)]"
powerlessnessvariable,19,15503,1,0,0,"[np.float64(-9.0), np.float64(-8.0), np.float64(-7.0), np.float64(-6.0), np.float64(-5.0), np.float64(-4.0)]"
"Compared to other people of your same gender and age range, you are (yh6d44s)",0,0,0,0,1,[]
Your sexual interests feel (44qhm16),0,0,0,0,0,[]
pornhabit,10,15503,1,1,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]"
Have you paid for porn/erotic content? (pnltks8),0,0,0,0,0,[]
"""In general, on average, the optimal amount of consent in my preferred erotic scenarios is",0,0,0,0,1,[]
Which describes you best? (cvc5b81),0,0,0,0,0,[]
"In scenarios you find erotic, you tend to identify with (or imagine being): (irv6czg)",0,0,0,0,0,[]
You ______ what arouses you (7mz0awx),0,0,0,0,0,[]
"In general, the most erotic scenarios are: (6e7lhil)",0,0,0,0,0,[]
"Do you feel as though you've ""induced"" new fetishes into yourself through the use of porn ",0,0,0,0,0,[]
Uncommon things: Check all the following categories that contain a thing that arouses you.,0,0,0,0,0,[]
Select all body parts you find significantly erotic,0,0,0,0,0,[]
"In general, I prefer when the person in bondage is",0,0,0,0,1,[]
whowears,12,8099,1,0,0,"[np.float64(50.0), np.float64(100.0), np.float64(150.0), np.float64(200.0), np.float64(250.0), np.float64(300.0)]"
"""I find it most erotic when the subject of my genderplay interest is:""",0,0,0,0,0,[]
"For sibling incest fantasies, which is your preferred pairing",0,0,0,0,0,[]
"For aunt/uncle, niece/nephew incest fantasies, which is your preferred pairing",0,0,0,0,0,[]
"When it comes to power dynamics, you tend to prefer scenarios that are more (xjfb7yy)",0,0,0,0,0,[]
"""I find situations erotic where transformations are ___"" (d14kddh)",101,1732,1,0,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]"
Check all that apply: Scenarios you find erotic tend to involve *you* feeling,0,0,0,0,0,[]
Check all that apply: Scenarios you find erotic tend to involve *the other person/people/c,0,0,0,0,0,[]
Your preferred breast size in a partner is: (dnuiinj),0,0,0,0,0,[]
Common things: Check all the following categories that contain a thing that arouses you.,0,0,0,0,0,[]
Which body parts are most erotic when giant/oversized?,0,0,0,0,0,[]
Which body parts are most erotic when extremely small?,0,0,0,0,0,[]
"""It's most erotic when the altered body is"" (wdflfgk)",97,1702,1,0,0,"[np.float64(0.0), np.float64(1.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0)]"
"For parent/child incest fantasies, which are your preferred pairings",0,0,0,0,0,[]
"In general, you find it most erotic when the subject of humiliation is:",0,0,0,0,0,[]
You prefer it when the mentally altered person is:,0,0,0,0,0,[]
"In erotic scenarios involving nonconsent, you generally prefer when the nonconsenting pers",0,0,0,0,0,[]
What kind of vore do you find erotic?,0,0,0,0,0,[]
You find vore in which orifices to be erotic?,0,0,0,0,0,[]
animals2,0,0,0,0,0,[]
How important is it that the pain is also sexually gratifying to the recipient? (b31aufk),0,0,0,0,0,[]
"""In general, I prefer scenarios where the intensity of the pain is:"" (m73c3q1)",0,0,0,0,0,[]
"""In general, I prefer scenarios where receiver of the pain is:"" (8r5zld8)",0,0,0,0,0,[]
My erotic fantasies involving toys typically involve ____ using the toys,0,0,0,0,0,[]
The type of erotic content you prefer tends to be more (2y636ej),0,0,0,0,0,[]
The type of erotic content you prefer tends to be: (f98tjn5),0,0,0,0,0,[]
"If you tried very hard, could you stop being aroused by something you're into? (7lgg41e)",0,0,0,0,0,[]
"In erotic scenarios involving age gaps, I prefer to be ____ (6njm5tr)",0,0,0,0,1,[]
"For grandparent/grandchild incest fantasies, which is your preferred pairing",0,0,0,0,0,[]
"When it comes to necrophilia, it's most erotic when your role is:",0,0,0,0,0,[]
"When it comes to necrophilia, you generally prefer fantasies where the dead body is:",0,0,0,0,0,[]
Which body parts are most erotic when extremely huge?,0,0,0,0,0,[]
"For animal transformations, you prefer when the final result is ____? (yta91wx)",99,681,1,0,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]"
How honest were you when answering this survey? (g1vao1y),0,0,0,0,0,[]
"In general, it's most erotic when _____ wears the clothing you find erotic (eowvxbs)",0,0,0,0,0,[]
marriage100blood,101,2398,1,0,1,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]"
ascore,11,10034,1,0,0,"[np.float64(0.0), np.float64(22.0), np.float64(33.0), np.float64(52.0), np.float64(58.0), np.float64(63.0)]"
You're more sexually attracted to people whose gender identity ____ match their genitals (,0,0,0,0,0,[]
How much of the porn or erotica you watch is violent? (joz3g52),0,0,0,0,0,[]
Do you get mood-based PMS symptoms during your menstrual cycle?,0,0,0,0,0,[]
Can you have vaginal orgasms *without* clitoral stimulation? (hy7nsai),0,0,0,0,0,[]
"""In general, casual sexual hookups have been a ___ experience for me"" (ytp3gfm)",0,0,0,0,0,[]
