v_out,n,nested
animated,4563,0.06728526929160528
written,4563,0.017896543702122014
"""I am ashamed or embarrassed about at least ",4718,0.02532418717738305
"""Engaging with or fantasizing about what aro",4716,0.012125954329734845
"""I can get aroused by a partner doing what I",4717,0.003241012507410934
"""I've acted upon or experimented with all th",4717,0.016206221854681346
"""I sometimes find people who have clearly re",4717,0.03561192892758325
allrollidentity,3442,0.021165928113558108
"""I find it erotic when two people of the opp",4715,0.03929828723973472
knowwhatarousesyou,4718,0.0058683946444956225
highenergy,4615,0.00853759130911158
"""I find the thought of existing (in *nonsexu",3919,0.010949501347674584
"""I find the thought of existing (in *nonsexu",3919,0.0069349240133211865
inducefetish,4595,0.02681249706696065
"""I find the thought of masturbating alone as",3919,0.007519950488080851
"""I find the thought of masturbating alone as",3919,0.015041287032954709
"""If my partner is aroused by something, I ca",4718,0.0205826279776401
"""I am aroused by being dominant in sexual in",4521,0.04056415438998895
"""I am aroused by being submissive in sexual ",4520,0.004416040842337932
age,4718,0.00868605016114754
openness,4718,0.0004925031045078798
conscientiousness,4718,0.0035875932445476044
extroversion,4718,0.013765653052102977
neuroticism,4718,0.005986630639455148
agreeableness,4718,0.0005030977161816219
powerlessness,4718,0.004447387601266506
关系风格,4718,0.005916409294574931
0–14 岁被打屁股,4716,-0.001205087050708098
成长期性开放度,4718,-0.0015240389823252265
