qi,col,n,k,pc1,pc1_null,pc1_z,pc2,pc2_z,pc3_z
83,"For male ejaculate, which of the following do you fi",1604,10,0.3361,0.1311,144.5,0.1207,-5.8,-9.6
48,Which of the following types of mental alteration do,2915,10,0.3352,0.1453,129.0,0.1364,-2.6,-11.0
29,Which of the following roles are erotic?,5388,22,0.1326,0.0653,127.0,0.088,50.4,33.9
42,For Which of the following categories of abnormal bo,1665,18,0.225,0.0854,105.4,0.1028,29.1,9.3
16,"Of these options, which one is the most erotic? (35j",8398,10,0.3224,0.2413,94.7,0.2523,57.7,36.5
7,"For precum, which of the following do you find eroti",1289,10,0.3026,0.1355,86.2,0.1283,-0.9,-6.5
62,"Which of the following do you find erotic, in the co",3398,21,0.1375,0.0737,84.6,0.0829,15.5,13.3
53,Which of the following do you find erotic? (ymvkzuu),2881,22,0.135,0.0675,71.0,0.0859,19.6,29.2
1,Which of the following sex acts do you find signific,15250,20,0.1239,0.0942,68.8,0.1067,59.3,30.0
93,Which of the following do you find erotic? (g5qw0tc),3228,21,0.1527,0.0751,64.7,0.0902,21.1,15.0
77,Which of the following do you find erotic? (lfolao),5045,21,0.1537,0.0816,64.0,0.0925,20.5,17.6
92,Which of the following do you find erotic? (fnwke2d),3593,18,0.1182,0.0782,60.8,0.0965,27.6,10.8
51,"When it comes to bestiality, which of the following ",1260,22,0.3527,0.1676,58.4,0.1139,-7.1,1.6
20,Which of the following do you find erotic? (vqogs86),4988,10,0.2583,0.1576,53.8,0.1643,13.0,6.6
73,Which of the following do you find erotic? (npcvctu),2386,20,0.1613,0.0777,52.6,0.1107,41.1,4.6
90,Which of the following do you find erotic? (u661iml),3701,10,0.2682,0.1596,45.8,0.1605,6.7,10.0
67,Which of the following nonconsent scenarios do you f,5415,16,0.112,0.0878,44.5,0.1026,35.4,14.7
4,Which of the following bodily secretions do you find,2897,14,0.2014,0.127,43.9,0.14,12.2,6.1
36,Which of the following sensations do you find erotic,2859,24,0.0952,0.0577,43.3,0.0938,62.8,39.6
55,Which of the following types of sadomasochism do you,5034,17,0.1286,0.0951,42.1,0.1017,11.1,16.8
85,Which of the following do you find erotic? (yf0rmix),2190,22,0.1253,0.0691,40.8,0.0912,37.6,22.0
96,Which of the following do you find erotic? (3hof3bj),2342,19,0.1289,0.0725,40.0,0.1005,50.2,24.7
39,Which of the following categories of transformations,1703,12,0.2001,0.1163,39.7,0.1395,18.4,6.9
9,"For squirt, which of the following do you find eroti",2358,10,0.2442,0.1472,37.3,0.1684,14.9,0.8
19,Which of the following do you find erotic? (88ox5nl),3805,19,0.1236,0.0737,36.9,0.1004,57.5,22.5
91,Which of the following do you find erotic? (9kmxhci),1322,20,0.1396,0.0774,34.4,0.1074,36.4,9.1
13,Which of the following do you find to be erotic?,8648,19,0.1251,0.1081,30.4,0.0964,5.2,2.4
63,Which of the following do you find erotic? (46pfeif),5007,18,0.1089,0.08,28.0,0.0915,25.7,17.4
11,"For urine, which of the following do you find erotic",1324,10,0.2222,0.144,21.3,0.153,12.3,4.3
81,Which of the following do you find erotic? (32snt5e),1655,19,0.1492,0.1151,18.7,0.1143,2.7,0.4
95,Which of the following do you find erotic? (rhb3fup),1095,19,0.156,0.1132,17.9,0.1136,1.9,2.1
79,Which of the following body modifications do you fin,9249,11,0.2009,0.1759,17.1,0.1712,0.1,-9.7
6,"For breast milk, which of the following do you find ",1044,10,0.2183,0.1638,13.9,0.1693,6.5,2.4
8,"For saliva, which of the following do you find eroti",1468,10,0.1766,0.1362,13.3,0.1654,15.4,15.2
17,Which of the following do you find erotic? (lb02f7w),1367,10,0.1928,0.1694,7.1,0.1832,11.4,1.0
