round,artifact,rows,arm_col,seed_col,spread_cols,verdict,why
R001_schema,accumulation_curve__accumulation.csv,24,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,additivity_variance_decomposition__variance.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,are_blocks_interchangeable__interchangeable.csv,42,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,attack_the_foundation__foundation.csv,384,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,blocks_or_total_sample__blocks_or_sample.csv,10,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,censoring.csv,25,-,seed,random_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,concentration_k.csv,60,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,concentration_k_sweep__concentration_k.csv,60,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,coordinate_count_specification_curve__curve.csv,60,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,different_framing_same_question__prediction_framing.csv,918,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,discriminant.csv,18,-,-,partial_sex,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,discriminant_validity__discriminant.csv,18,-,-,partial_sex,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,do_factors_reach_excluded_blocks__reach_excluded.csv,232,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,does_matching_correct_or_just_subsample__matching.csv,60,-,split,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,does_power_reach_outside__power_reach.csv,128,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,does_substance_reach_outside__reach.csv,116,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,does_the_count_saturate__saturation.csv,24,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,erotic_covariates__covariate_ladder.csv,54,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,feasibility.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,feasibility_or_role__feasibility.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,full_categories.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,grid.csv,48,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,group_level_orderings__group_orderings.csv,16,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,group_orderings.csv,16,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,individual.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,individual_order_with_a_stronger_instrument__grid.csv,75,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,influence.csv,28,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,is_breadth_content__grid.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,is_the_order_individual__individual.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,item_audit.csv,22,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,item_margin_done_properly__item_margin_v3.csv,4,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,ladder.csv,144,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,nestedness_controls.csv,15,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,nestedness_synthetic_controls__nestedness_controls.csv,15,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,one_structure_or_two__joint.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
