file,line,n_mag,cites,any_cite_has_precision,text,line_has_precision,withdrawn,disclosed
README.md,137,8,"802,801,787",False,"**And `#802`'s sentence immediately owed a control, so the next round went and built it — deliberately choosin",False,False,False
README.md,138,2,706,False,"⚠ **This number tracks sample size, not how true the claim is**: measured, `corr(ratio, n) = +0.8829` while `c",False,False,False
README.md,166,5,709,False,"| **It is education, not cohort** | within five cohort cells the education Δ agrees in sign 5/5, median **+0.0",False,False,False
README.md,205,8,"865,863,111",False,"| **UNVERIFIED — and the three failures were three different instrument defects, none of them the data** | ⚠ *",False,False,False
README.md,208,1,"868,868,866,868,111,868",False,"| **Another rule half-dead: 38 copies, 8 missing the line — and the missing line was not a no-op** | ⚠ **Scope",False,False,False
README.md,211,4,"871,871,871",False,| **This project has always checked whether a finding survives dropping a PERSON; it had never checked whether,False,False,False
README.md,213,2,"872,872,872,871,872,872,872",False,"| **The sweep that was supposed to measure re-derivability could not be run, and the reason is my design** | ⚠",False,False,False
README.md,218,4,"837,837",False,**The first thing to say about this round is why it left GSS.** The previous sixteen rounds of this session al,False,False,False
README.md,263,12,"819,819,819",False,| **Sorted by devoutness the divide lurches; sorted by political conservatism the same divide merely drifts** ,False,False,False
README.md,268,4,"819,819",False,**And `#819`'s sentence rested on a premise I had never tested: it was stratified by devoutness. So the same g,False,False,False
README.md,297,11,"801,803,801,803,803,600,795",False,"| **The rule was written in the ledger, and a ledger enforces nothing** | **`#801` established ""no control may",False,False,False
README.md,331,14,767,False,"| **The item is already at its ceiling among the most devout, so that direction is the scale hitting a wall, n",False,False,False
README.md,333,2,750,False,"| **The explained share is a derivation, not a measurement, and I wrote five rounds on it** | the closed form ",False,False,False
README.md,345,5,750,False,"| **At the society level there is no obedience family, only obedience** | partialling out obedience alone cost",False,False,False
README.md,362,2,731,False,"| **Ask it again in different words and the same people give the same block** | within 1994, same population a",False,False,False
README.md,513,5,"423,392",False,"⚠ **`#423`: and enumerating the question types turned up a loaded trap that has not yet fired, plus one fact a",False,False,False
README.md,515,2,424,False,⚠ **`#424`: and there is no specialist taste in this survey.** The largest never-anchored question family — 67,False,False,False
README.md,517,6,"429,481,461,442,480",False,⚠ **`#429`: and one signed claim on this page rests on a direction that cannot be checked here at all.** Enume,False,False,False
README.md,519,1,433,False,"⚠ **`#433`: and once its direction was settled, the porn-use variable turned out to add exactly one thing.** A",False,False,False
README.md,529,3,440,False,⚠ **`#440`: and it is not what you like — it is how your liking is distributed.** The direct path from breadth,False,False,False
README.md,531,5,"441,442",False,"⚠ **`#441` narrows this: the shape is not the breadth-type contrast, and that contrast is the weakest of the t",False,False,False
README.md,537,9,"456,457",False,"⚠ **`#456`: the two consequences have nothing to do with each other, and saying ""one antecedent"" was reading m",False,False,False
README.md,539,21,"458,459,460",False,⚠ **`#458`: and the two paths do come apart — three of six page quantities touch exactly one of them.** Runnin,False,False,False
README.md,813,1,739,False,> ⚠ And the part worth remembering: **`#739` had already measured that pair's artefact share at 64%** —,False,False,False
README.md,950,9,358,False,"relational late: power dynamics 16.8, bondage 16.9, mental alteration 17.0). **[SURVIVES FRAMING SWAP — RETRAC",False,False,False
README.md,996,2,59,False,"+0.0290**, combined **+0.0606** (`#59`). The aggregate cross-domain signal is the *larger* — pairwise block→bl",False,False,False
README_zh.md,120,8,"802,801,787",False,"**而 `#802` 那句话立刻欠着一个对照,所以下一轮就去做它 —— 并且是故意挑一个「正结果我不欢迎」的方向:若它开火,头条就死。**问题是:**一个共同的潜在位移(两层完全一样地改主意),在一把 1–4 的序数尺上",False,False,False
README_zh.md,121,2,706,False,"⚠ **这个数主要跟着样本量走,不跟着「这条有多真」走**:实测 `corr(比值, n) = +0.8829`,而 `corr(比值, 效应本身) = −0.3929` ——**效应最大的几条,比值反而最低**(它们是",False,False,False
README_zh.md,149,5,709,False,"| **是教育,不是世代** | cohort 五格内 educ Δ 同号 5/5,中位 **+0.0718 = 整体 93%** | 沿 cohort 自身只有 +0.0382;安慰剂 +0.0208;⚠ 教育非随机 ",False,False,False
README_zh.md,188,8,"865,863,111",False,"| **UNVERIFIED —— 而三次不通过的是三个不同的仪器缺陷,没有一个是数据** | ⚠ **作用域**:GSS 五个平行靶(同性恋 · 种族主义者 · 共产主义者 · 军管主义者 · 无神论者)× 各自的十年",False,False,False
README_zh.md,191,1,"868,868,866,868,111,868",False,"| **又一条守则死了一半:38 份拷贝,8 份漏了那一行,而漏掉的那一行不是可有可无的** | ⚠ **作用域**:本项目自己的 860 个 `.py`,**PRODUCTION 不是 FRONTIER —— 本轮不问",False,False,False
README_zh.md,194,4,"871,871,871",False,| **This project has always checked whether a finding survives dropping a PERSON; it had never checked whether,False,False,False
README_zh.md,196,2,"872,872,872,871,872,872,872",False,"| **The sweep that was supposed to measure re-derivability could not be run, and the reason is my design** | ⚠",False,False,False
README_zh.md,201,4,"837,837",False,"**而这一轮第一件要说的事,是它为什么离开 GSS。** 本会话前十六轮全在同一具仪器、同一个单位上 —— **十六步同向就是一个盆地**,所以本轮换到 **SCCS 的一百八十六个社会**,并且**故意把设计造成「我不",False,False,False
README_zh.md,246,12,"819,819,819",False,"| **按虔诚分,鸿沟是猛地裂的;按政治立场分,同一条鸿沟只是匀速漂** | **同一张 `(题 × 十年)` 网格在两根轴上各跑一遍,并把两张网格的比较本身当成估计量**(分两轮跑就只能用眼睛比):**虔诚度分层偏离匀",False,False,False
README_zh.md,251,4,"819,819",False,"**而 `#819` 那句话有一个我没检验过的前提:它是按虔诚度分的层。于是把同一张网格换成政治立场再跑一遍,并把两张网格的比较本身当成估计量。****结果:按虔诚分,`homosex` 在 1990s 与 2000s ",False,False,False
README_zh.md,280,10,"801,803,801,803,803,600,795",False,"| **那条规矩写在账本里,而账本不执行任何东西** | **`#801` 立下「控制不许要求一个接近可达上限的变化」并把标准定在可达幅度的 30%,而一轮之后 `#803` 又建了一遍** ⇒ 变成 `lib/gate",False,False,False
README_zh.md,314,14,767,False,"| **那道题在最虔诚的人身上已经到顶了,所以那个方向是撞墙不是关系** | 最虔诚三分位里说婚外性「总是错」的占 **87.8%**(`teensex` 82.2% · `homosex` 80.5%),而 sd 从 ",False,False,False
README_zh.md,316,2,750,False,"| **解释份额是推导不是测量,而我用它写了五轮** | 解析式与数值管线差 **1.9e−16**(机器精度)⇒ 份额是 `(r_XY, r_XZ, r_YZ)` 的确定函数;而**只匹配那两条相关的二元高斯**给出同",False,False,False
README_zh.md,328,6,750,False,"| **社会层没有服从那一族,只有服从这一个** | 只偏掉服从的代价 **+0.0783**,而文献上与它同属 compliance 的责任只值 **+0.0046**;整个 compliance 组 +0.0750,",False,False,False
README_zh.md,345,2,731,False,"| **换一套问法再问一遍,同一批人给出的还是同一块** | 1994 年同人群同约定,两版四题的最弱一环 **+0.3339 对 +0.4273**;368 人两版都答过,逐题重测 **0.73–0.91**(逐题值见",False,False,False
README_zh.md,467,5,"423,392",False,"⚠ **`#423`:而把题型逐个列举一遍,找出了一个**尚未触发**的陷阱,外加一句关于人的话。** 问卷里有**两个**斐波那契编码的评分族,值集互为镜像 —— `{0,−1,−2,−3,−5,−8}` 与 `{0,",False,False,False
README_zh.md,469,2,424,False,"⚠ **`#424`:而这份问卷里**没有一种「专精」的口味**。** 名单上最大的、从未标定的题族 —— **67** 个唤起评分,从 anal 到 spanking 到 mind-break —— 用同样两个计数锚标",False,False,False
README_zh.md,471,6,"429,481,461,442,480",False,"⚠ **`#429`:而本页有一条带符号的话,靠的是一个在这里根本无法检查的方向。** 把最后一个没查过的题族列举完,发现本项目用到的**八个**有序变量方向从未被确立 —— 五个 Big Five、powerlessn",False,False,False
README_zh.md,473,1,433,False,"⚠ **`#433`:而方向一旦定下,色情使用量这个变量原来只多加了一件事。** 对着本页已有的四个结局 —— 羞耻、能不能停、治疗性、实践了多少 —— 在**口味有多罕见、普通内容管不管用、广度型、类别数与年龄全部控制",False,False,False
README_zh.md,483,3,440,False,"⚠ **`#440`:而这不是「你喜欢什么」,是「你的喜欢怎么分布」。** 广度型通往「这件事我改不了」的**直接**那条路,是本页最大的一块没有解释的东西,所以把它拆到**对象自身**的层面:把这个坐标**重建 32 ",False,False,False
README_zh.md,485,5,"441,442",False,"⚠ **`#441` 把这句话收窄了:那个「形状」不是广度型这个对比,而且它是三个里最弱的。** `c3⁻` 是块×块残差相关矩阵的**第三**个特征向量;接下来显然要问的是前两个是什么、它们是否也预测这个信念。**三个",False,False,False
README_zh.md,491,9,"456,457",False,"⚠ **`#456`:两个后果彼此毫无关系,而说「同一个前因」是读进了它撑不住的东西。** 握住羞耻、重跑「能不能改」的梯度,陡度从 **+0.128** 变成 **+0.128**(保留 **1.007**);握住「能",False,False,False
README_zh.md,493,21,"458,459,460",False,"⚠ **`#458`:而这两条路确实分得开 —— 页面上六个量里,有三个只碰其中一个。** 把本页**已有的**六个人层量同时对两个结局跑一遍,族内阈 **0.034**:口味的罕见程度(**+0.079 / −0.08",False,False,False
README_zh.md,750,1,739,False,> ⚠ 而最该记住的是:**`#739` 早就量出 `xmarsex×homosex` 的伪影份额是 64%** ——,False,False,False
README_zh.md,891,5,358,False,"(内容类早:外观 14.0、身体部位 14.4、衣物 14.7;关系类晚:权力动态 16.8、束缚 16.9、精神改变 17.0)。 ⚠ **`#358`:这张时间表现在有了它自己的证据,以及一个上限。**31 个类别均",False,False,False
README_zh.md,952,2,60,False,"对数形式 11.2%、线性形式 51.9%(`#60`),而置换标签的零在每一个 n 上都恰好是 0.0000。",False,False,False
README_zh.md,962,3,59,False,"**跨块因子 +0.0409**(在另外 31 个块上拟合)与**块内结构 +0.0290**,合起来 **+0.0606**(`#59`)。",False,False,False
