split,side,nitem,R,D,F,W
PC1,A,17,0.08094479758002077,7.509947599295288,0.20879122076864598,-0.0860862905914131
PC1,B,9,0.5468762271973521,5.301444721557316,0.3352789480201892,-0.2541167988475286
PC2,A,14,0.4906724040661188,5.681160900027433,0.31696393848447973,-0.18848578896693813
PC2,B,12,-0.10061841613516367,8.50571325602524,0.17351943619025176,-0.11279820474886496
PC3,A,12,0.16914258609225105,7.592847564088661,0.2045959494867025,-0.11136777984564868
PC3,B,14,0.08161653624952167,7.023351598420443,0.23692097589918892,-0.16459527379703412
PC4,A,13,0.49704302094693353,5.3588849061444535,0.32201594961839364,-0.17453510145802348
PC4,B,13,0.12872119122050138,8.238430091006107,0.18065108042240194,-0.10719382289641516
PC5,A,9,0.17602564190654008,7.06749120522745,0.23154216620069903,-0.08339789093028081
PC5,B,17,0.35740270846549665,6.830741030692168,0.2497584906870814,-0.17110557374197125
PC6,A,13,0.3579374139729003,5.938533316191511,0.29602267681106237,-0.10822879206827934
PC6,B,13,0.10585961631763417,8.493133454790172,0.16623028843911108,-0.1793454736272019
