outcome,r2,sd
animated,0.07785682871585901,0.0009545711021272776
"""I find it erotic when two people of the opposite gender to me sexually interact with each other"" (fbqcymm)",0.042215885877893086,0.001964915714835953
"""I am aroused by being dominant in sexual interactions"" (6w3xquw)",0.04195397347696241,0.0017346492343080484
"""I sometimes find people who have clearly reached sexual maturity, but are not yet adults (e.g., ages 13-17), to be sexually attractive"" (kbpolw9)",0.03569507673075763,0.00088690927202732
inducefetish,0.030731059173108012,0.0003714768745560498
"""I am ashamed or embarrassed about at least some of what arouses me"" (7cw1ziu)",0.027718164455205297,0.0005074723107531779
allrollidentity,0.023977554731290707,0.000532868837540959
"""If my partner is aroused by something, I can also be aroused by it, even if I don't normally find it erotic"" (j5yb5lu)",0.023570333219670548,0.0004916205476005389
written,0.02163416567584613,0.0013285993748748525
"""I find the thought of masturbating alone as a biological male, to be erotic"" (guwym9g)",0.020388838964661038,0.00021922696737240063
"""I've acted upon or experimented with all the things that arouse me"" (41kpfir)",0.018477896183794473,0.0008404922324431486
extroversion,0.01675252760417758,0.0005166582783938913
"""Engaging with or fantasizing about what arouses me feels therapeutic or healing to me"" (vmq8jqw)",0.016149479467954354,0.00032102671233783615
"""I find the thought of existing (in *nonsexual* situations) as a biological *female* to be erotic"" (6w84yry)",0.014706844660833985,0.0002451158501516396
"""I find the thought of masturbating alone as a biological female, to be erotic"" (sgdpy8l)",0.01376761628039227,0.0002834122055232107
关系风格,0.013311875615960745,0.00012492490757569312
highenergy,0.012164601295488709,0.0008947163152746748
age,0.01206772912308296,0.00023012924207708747
powerlessness,0.010050776112602943,0.0008281832926216499
"""I can get aroused by a partner doing what I like, even if I know they aren't aroused by it themselves"" (aw1a1ss)",0.00984039790453497,0.000142023027061605
"""I find the thought of existing (in *nonsexual* situations) as a biological *male* to be erotic"" (l7vpprx)",0.00977375523385966,8.7941008000908e-05
neuroticism,0.009381726137811653,0.0007445722619661238
knowwhatarousesyou,0.00930115628493875,0.0002351230386022939
"""I am aroused by being submissive in sexual interactions"" (xem7hbu)",0.0073392248826789075,0.0001003028105636857
conscientiousness,0.006214951598470386,0.00035219468025589703
agreeableness,0.0060244887862596075,0.0003152657554228659
openness,0.0035209651447199787,0.00017879851291659706
0–14 岁被打屁股,0.002768689618410991,0.00018600833859389116
成长期性开放度,0.0026939695628855676,0.0001361848275312097
