col,n,rho,p,sig
bondageaverage,8701,0.32725774965920745,2.746440293215094e-216,True
pornhabit,15503,0.2194704613142674,1.9905615934346837e-168,True
"""I find personal freeuse dynamics, arrangements where one partner can sexu",6462,0.21365560424507382,1.3285679143408886e-67,True
"""I find situations erotic where transformations are ___"" (d14kddh)",1732,-0.13007974776312012,5.5489875598017264e-08,True
whowears,8099,0.11332883718798259,1.449734791091099e-24,True
"""I am aroused by being submissive in sexual interactions"" (xem7hbu)",14987,0.10571221237550359,1.6580756540293798e-38,True
"""I am ashamed or embarrassed about at least some of what arouses me"" (7cw1",15503,0.08147368362797067,2.977009504059367e-24,True
"""I find the thought of existing (in *nonsexual* situations) as a biologica",12772,-0.08078091985848378,6.053717033861972e-20,True
"""I find it erotic when two people of the opposite gender to me sexually in",15499,0.07681690270021231,1.0019562594415436e-21,True
"""I find the thought of existing (in *nonsexual* situations) as a biologica",12772,-0.07577085046219341,9.94303222886399e-18,True
knowwhatarousesyou,15503,0.0732435989211941,6.776468611201368e-20,True
"""It's most erotic when the altered body is"" (wdflfgk)",1702,0.07206191902923517,0.0029335176394411277,True
"""Engaging with or fantasizing about what arouses me feels therapeutic or h",15501,0.07192593052426068,3.0779530237363363e-19,True
opennessvariable,15503,0.07188060438503342,3.223321534890859e-19,True
"""If my partner is aroused by something, I can also be aroused by it, even ",15502,0.07071307824600077,1.2011267290320703e-18,True
"""I've acted upon or experimented with all the things that arouse me"" (41kp",15502,-0.06393969079656692,1.606729305323903e-15,True
ascore,10034,0.06203842757377709,4.984322755760349e-10,True
marriage100blood,2398,0.0501757296882639,0.013996974517649141,False
neuroticismvariable,15503,0.04902356273908438,1.0142290838093123e-09,False
"""I sometimes find people who have clearly reached sexual maturity, but are",15501,-0.04869878959797172,1.309262319922927e-09,False
agreeablenessvariable,15503,0.039807800784273144,7.11946033189439e-07,False
"""I can get aroused by a partner doing what I like, even if I know they are",15502,-0.03645848175095292,5.6126148087857245e-06,False
supernatural,9126,-0.03394515690707615,0.0011816424687338123,False
written,14188,0.033194787468312524,7.663551781537371e-05,False
animated,14190,0.028877747615538567,0.0005808909332640431,False
consciensiousnessvariable,15503,0.028564736006615167,0.0003750226985938459,False
allrollidentity,10860,-0.024567141745104982,0.010459205927208297,False
powerlessnessvariable,15503,0.014029045353175763,0.08068658195395002,False
"""I am aroused by being dominant in sexual interactions"" (6w3xquw)",14987,0.011000652291773615,0.1780950107581257,False
extroversionvariable,15503,-0.010986935119086839,0.17133532277478222,False
"""I've experienced a lot of sexual harrassment"" (3knd12d)",7582,-0.01041778094082038,0.3644068001795045,False
highenergy,15098,0.008444322135885985,0.29949379239370644,False
"""I find the thought of masturbating alone as a biological male, to be erot",12772,0.006241071231297528,0.4806473751450271,False
"""I find the thought of masturbating alone as a biological female, to be er",12772,0.0030774511084242402,0.7280207271484717,False
