token,cls,why,line
3.1×,①搬运缺口,账本 5 行带限定语,"| **And the remaining preferences are pulled toward whichever came first** | displacement **+0.0339, 3.1×**, p"
+0.0339,①搬运缺口,账本 1 行带限定语,"| **And the remaining preferences are pulled toward whichever came first** | displacement **+0.0339, 3.1×**, p"
-0.135,②证据缺口,"账本 1 行提到,但都不带限定语","| ""Domain-general beats domain-specific, 186/276"" | **Inverted: 0 general / 201 specific** | The 186 was a −0."
1.05×,②证据缺口,"账本 3 行提到,但都不带限定语","| ""The three components are the same size (in predictability), 1.05×"" | **Withdrawn** | Subtracting a null doe"
10%,①搬运缺口,账本 4 行带限定语,"| ""The earlier something enters the map, the more central it is"" | **Withdrawn, 10% remains** | That was not t"
-0.030,①搬运缺口,账本 2 行带限定语,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0.028; the null is 91"
91%,①搬运缺口,账本 1 行带限定语,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0.028; the null is 91"
-0.028,①搬运缺口,账本 1 行带限定语,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0.028; the null is 91"
0.3×,①搬运缺口,账本 2 行带限定语,| Distinguish memory becoming blurry from a story becoming settled | Real curvature **0.3×**; pushing it to 2×
48×,①搬运缺口,账本 1 行带限定语,| Distinguish memory becoming blurry from a story becoming settled | Real curvature **0.3×**; pushing it to 2×
2×,①搬运缺口,账本 12 行带限定语,| Distinguish memory becoming blurry from a story becoming settled | Real curvature **0.3×**; pushing it to 2×
-0.126,②证据缺口,"账本 1 行提到,但都不带限定语","(−0.126 — **[VERIFICATION — see RETRACTIONS #16]**, published as `01-age-onset` Finding 1) and recall anchorin"
0.88%,①搬运缺口,账本 2 行带限定语,**[R07 · breadth](A07_breadth)** — Quantity without shape. A person's set is **0.88%** more
3.6×,①搬运缺口,账本 1 行带限定语,and sex — 3.6× the neuroticism reference). Direction is unavailable; this is exactly what a
+0.58,②证据缺口,"账本 3 行提到,但都不带限定语","substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**."
+0.017,①搬运缺口,账本 5 行带限定语,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**."
+0.24,①搬运缺口,账本 1 行带限定语,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**."
51.9%,②证据缺口,"账本 1 行提到,但都不带限定语","for log and 51.9% for linear, with a permuted-label null of exactly 0.0000 at every n. **[MECHANISM REVERSED —"
87%,①搬运缺口,账本 1 行带限定语,"**[RETRACTIONS #59]** Two largely independent contributions, 87% additive, both against two exactly-null"
+0.0409,①搬运缺口,账本 1 行带限定语,controls: **cross-block factors +0.0409** (fitted on 31 *other* blocks) and **within-block structure
+0.0290,②证据缺口,"账本 4 行提到,但都不带限定语","+0.0290**, combined **+0.0606**. The aggregate cross-domain signal is the *larger* — pairwise block→block"
+0.0606,②证据缺口,"账本 1 行提到,但都不带限定语","+0.0290**, combined **+0.0606**. The aggregate cross-domain signal is the *larger* — pairwise block→block"
