item,erotic
animated,True
written,True
"""I am ashamed or embarrassed about at least some of what arouses me"" (7cw1ziu)",True
"""Engaging with or fantasizing about what arouses me feels therapeutic or healing to me"" (vmq8jqw)",True
"""I can get aroused by a partner doing what I like, even if I know they aren't aroused by it themselves"" (aw1a1ss)",True
"""I've acted upon or experimented with all the things that arouse me"" (41kpfir)",True
"""I sometimes find people who have clearly reached sexual maturity, but are not yet adults (e.g., ages 13-17), to be sexually attractive"" (kbpolw9)",True
allrollidentity,True
"""I find it erotic when two people of the opposite gender to me sexually interact with each other"" (fbqcymm)",True
knowwhatarousesyou,True
highenergy,True
"""I find the thought of existing (in *nonsexual* situations) as a biological *female* to be erotic"" (6w84yry)",True
"""I find the thought of existing (in *nonsexual* situations) as a biological *male* to be erotic"" (l7vpprx)",True
"""I find the thought of masturbating alone as a biological female, to be erotic"" (sgdpy8l)",True
"""I find the thought of masturbating alone as a biological male, to be erotic"" (guwym9g)",True
"""If my partner is aroused by something, I can also be aroused by it, even if I don't normally find it erotic"" (j5yb5lu)",True
"""I am aroused by being dominant in sexual interactions"" (6w3xquw)",True
"""I am aroused by being submissive in sexual interactions"" (xem7hbu)",True
supernatural,True
"""I've experienced a lot of sexual harrassment"" (3knd12d)",True
"""I find personal freeuse dynamics, arrangements where one partner can sexually ""use"" the other without asking or negotiating, to be erotic"" (kspot4h)",True
"""To what extent do you agree with this statement: I am a narcissist. (1bqtk47)",False
