round,artifact,rows,arm_col,seed_col,spread_cols,verdict,why
R013_attack_the_foundation,foundation.csv,384,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R014_erotic_covariates,covariate_ladder.csv,54,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R015_do_factors_reach_excluded_blocks,reach_excluded.csv,232,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R016_relationality_predicts_onset,relationality.csv,19,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R017_different_framing_same_question,prediction_framing.csv,918,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R018_the_item_margin,item_margin.csv,4,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R019_item_margin_done_properly,item_margin_v3.csv,4,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R020_one_structure_or_two,joint.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R021_within_block_vs_cross_domain,within_vs_cross.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R022_accumulation_curve,accumulation.csv,24,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R023_are_blocks_interchangeable,interchangeable.csv,42,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R024_blocks_or_total_sample,blocks_or_sample.csv,10,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R038_coordinate_count_specification_curve,curve.csv,60,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R039_does_the_count_saturate,saturation.csv,24,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R040_discriminant_validity,discriminant.csv,18,-,-,partial_sex,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R041_whitened_discriminant,whitened.csv,6,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R042_why_the_gate_failed,noise_null.csv,300,-,-,noise_profile_r,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R043_power_substance_ladder,ladder.csv,68,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R044_additivity_variance_decomposition,variance.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R045_source_asymmetry_uncentred,source_asymmetry.csv,3,-,-,"unc_sd,cen_sd",UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R046_feasibility_or_role,feasibility.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R047_does_substance_reach_outside,reach.csv,116,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R048_does_power_reach_outside,power_reach.csv,128,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
