q,a_S,b_Cres
biomale,0.04231269846772255,0.059367214968423496
animated,0.1020320642920855,-0.12587128980928503
written,0.01651489849305287,-0.06511571122171873
"""I am ashamed or embarrassed about at least some of what aro",0.11549278197697291,-0.022996593449823955
"""Engaging with or fantasizing about what arouses me feels th",0.007489549347614251,-0.008631560119526146
"""I can get aroused by a partner doing what I like, even if I",0.029492001119454055,0.011179214047777145
"""I've acted upon or experimented with all the things that ar",0.03027842854161044,0.009052825482866242
"""I sometimes find people who have clearly reached sexual mat",0.10023581944839717,-0.046107197623861215
allrollidentity,0.025577358469410987,-0.05169986014857749
"""I find it erotic when two people of the opposite gender to ",0.019935232828875774,0.02579421905221132
knowwhatarousesyou,0.03506257101424103,0.029701829083861722
highenergy,-0.057212816561879,-0.0003988624399615032
"""I find the thought of existing (in *nonsexual* situations) ",0.05024545850501933,-0.04810135417501735
"""I find the thought of existing (in *nonsexual* situations) ",0.055468754626655514,-0.00960301990349765
inducefetish,0.05972795052140782,-0.0034887288258309912
"""I find the thought of masturbating alone as a biological fe",-0.03935725829954115,0.00016326763337103442
"""I find the thought of masturbating alone as a biological ma",0.007345622587871926,-0.04253145294348467
"""If my partner is aroused by something, I can also be arouse",-0.03518972764837432,0.0423850604048035
"""I am aroused by being dominant in sexual interactions"" (6w3",-0.059101897331697954,0.00807553180212561
"""I am aroused by being submissive in sexual interactions"" (x",0.0070272907834778905,-0.049914867084038375
