token,line,dist,evidence
+0.0339,"| **And the remaining preferences are pulled toward whichever came first** | displacement **+0.0339,",0,"| 118a | **加强成功,`#117c` 按 3.1× 引用** | 位移 **+0.0339,3.1× 自身展布**,零是效应的 6%,46/68 对为正 |"
3.1×,"| **And the remaining preferences are pulled toward whichever came first** | displacement **+0.0339,",0,"| 118a | **加强成功,`#117c` 按 3.1× 引用** | 位移 **+0.0339,3.1× 自身展布**,零是效应的 6%,46/68 对为正 |"
-0.030,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0.028; the ",0,| 102b | **`#101d`'s onset link** | **DOWNGRADED to `UNVERIFIED`.** At −0.0302 against a matched null of −0.0275 with ov
10%,"| ""The earlier something enters the map, the more central it is"" | **Withdrawn, 10% remains** | That",0,"| 12 | **""Self-reported porn-induced fetish acquisition has no structural signature""** (`r37`–`r38`, misfit rho +0.038, "
91%,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0.028; the ",0,"于是我给它加了第二条通路(传 `null_spread`,若 |零| < 2×自身展布也算过)。**然后回放五个历史案例,发现这个口子让 `#102a` 那个 91% 的同号零通过了** —— 而那正是这个库存在的起因。"
-0.028,"| ""The trait tracks earlier acquisition age"" | **Withdrawn** | −0.030 against a null of −0.028; the ",0,"| 9 | **""Unit acquisition of a coordinate""** — my own hypothesis from `r26`, that categories sharing a GCCA coordinate w"
2×,| Distinguish memory becoming blurry from a story becoming settled | Real curvature **0.3×**; pushin,0,"| 2 | **""Cross-domain transfer of individual structure is weak""** (`r08`, median \|r\| = 0.064 over 418 block pairs) | `"
48×,| Distinguish memory becoming blurry from a story becoming settled | Real curvature **0.3×**; pushin,0,"| 120a | **机制分不开 —— 能力边界,不是零** | **真实曲率是 0.3× 自身展布**,根本没通过可分辨性。要把它推到 2×,需要**约 48 倍样本量** |"
+0.017,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**.",0,"**+0.0170 a lower bound and +0.0373 an upper bound**, and the truth is somewhere between depending"
3.6×,and sex — 3.6× the neuroticism reference). Direction is unavailable; this is exactly what a,0,"| 19 | **""Consumption reorganises the grammar at 0.0439, 3.6× the neuroticism reference""** and **""modality is typical, r"
