seed,gap_lo,gap_hi,n,acc,rnd
1,0.0,0.0,22305,,
1,0.1,2.5,15392,61.772349272349274,43.10031185031185
1,2.5,4.5,10415,66.37542006721075,40.69131060969755
1,4.5,8.5,9543,70.09326207691501,37.83925390338468
1,8.5,99.0,3814,73.43995804929209,36.9952805453592
2,0.0,0.0,22709,,
2,0.1,2.5,15029,61.9202874442744,51.234280391243594
2,2.5,4.5,10344,66.73433874709977,53.035576179427686
2,4.5,8.5,9498,71.24657822699515,55.55906506632975
2,8.5,99.0,3926,73.96841569026999,57.79419256240448
3,0.0,0.0,22280,,
3,0.1,2.5,15486,61.636316673124114,50.92987214258039
3,2.5,4.5,10506,67.2187321530554,51.59908623643632
3,4.5,8.5,9602,70.4436575713393,54.16579879191835
3,8.5,99.0,3924,74.77064220183486,55.8868501529052
4,0.0,0.0,22421,,
4,0.1,2.5,15387,62.591798271267955,49.84727367258075
4,2.5,4.5,10376,66.63454124903623,50.038550501156514
4,4.5,8.5,9556,71.29552113855169,49.45583926329008
4,8.5,99.0,3895,73.65853658536585,43.594351732991015
