q,n,r_K,r_S,sd,ratio
inducefetish,6508,0.18196770946625135,0.15701080366123452,0.01235727968355434,14.72554754169906
"""I find it erotic when two people of the opposite gender to me",6713,0.16634673915887493,0.11655307708169925,0.011043915489604208,15.062297363236748
"""Engaging with or fantasizing about what arouses me feels ther",6715,0.1447987172010508,0.09372966523083973,0.012727747784910558,11.37661742266119
"""I find the thought of masturbating alone as a biological male",5654,0.1414408431897503,0.091791767813077,0.01262812302820741,11.200464461251622
"""If my partner is aroused by something, I can also be aroused ",6717,0.1308509190875833,0.05166119157661579,0.011617628806129272,11.263134781733472
"""I sometimes find people who have clearly reached sexual matur",6716,0.11932876236410514,0.15151006739744177,0.012308472200808494,9.694847615308984
biomale,6717,0.10803773578718329,0.09898858011999613,0.011397403211714228,9.479153608967902
"""I've acted upon or experimented with all the things that arou",6716,0.10598701997710018,0.08824001810432003,0.012090481474112985,8.766153788335869
"""I find the thought of existing (in *nonsexual* situations) as",5654,0.09213740078466622,0.09575045571498654,0.014748607430094268,6.247193250032645
"""I can get aroused by a partner doing what I like, even if I k",6716,0.0909648950790563,0.0785386147441698,0.012187102260703239,7.464029851654605
"""I am aroused by being dominant in sexual interactions"" (6w3xq",6458,0.09012156930386409,0.00779256029922484,0.013405386812890116,6.722787679442907
"""I find the thought of masturbating alone as a biological fema",5654,0.08150154782335958,0.018428102311102545,0.012943263750973325,6.2968312623028115
allrollidentity,4910,0.07848228949989988,0.06795044559197341,0.015018361948787707,5.22575562951025
knowwhatarousesyou,6717,0.07580722688408803,0.07378649170486137,0.012167090460374987,6.23051395327192
"""I find the thought of existing (in *nonsexual* situations) as",5654,0.0747473538783258,0.08936723006667334,0.014078726470236598,5.30924114736847
highenergy,6579,-0.07420936876327369,-0.09036269070058761,0.012521050997211259,5.926768350340711
animated,6479,0.06315422989758415,0.11928006613920951,0.011899586401865636,5.307262602646654
"""I am ashamed or embarrassed about at least some of what arous",6717,0.04418265738938517,0.11852284120046405,0.013777916919622605,3.2067733930417246
"""I am aroused by being submissive in sexual interactions"" (xem",6457,0.030527859243783227,0.024090457016603367,0.013148188279374303,2.321830095152546
written,6478,-0.007397126591683668,0.008664462368715235,0.01127868156990274,0.655850291174366
