q,grp,r_Cres,r_S,r_rho
biomale,--,0.06346535040409006,0.04127741873207117,0.0047235374930798026
animated,REP,-0.12644731526931935,0.1008734333000199,-0.08162598408038609
written,REP,-0.06411029139333292,0.018116429518066204,-0.03558939544181185
"""I am ashamed or embarrassed about at least some of ",--,-0.02133476772201039,0.11478006563933217,-0.04377510728438394
"""Engaging with or fantasizing about what arouses me ",--,-0.01070989214551077,0.008305371510654845,0.00014085241977405662
"""I can get aroused by a partner doing what I like, e",LIVE,0.01156728669661566,0.029282252005827514,-0.021335812509070524
"""I've acted upon or experimented with all the things",--,0.009463685658714208,0.0310364883712544,-0.01664022943536436
"""I sometimes find people who have clearly reached se",LIVE,-0.04661155804201355,0.09991925178543432,-0.0852576022205467
allrollidentity,--,-0.05438249875817637,0.02461817754308139,-0.002084033248213873
"""I find it erotic when two people of the opposite ge",LIVE,0.02511488606514361,0.019586640766703037,0.04715336011084764
knowwhatarousesyou,--,0.02847132365969546,0.03716004718143459,0.034521451182941455
highenergy,--,-0.00029821945275107536,-0.05577888812955309,0.02881222824162034
"""I find the thought of existing (in *nonsexual* situ",REP,-0.04936872710014448,0.04959483486248988,-0.01950415080071848
"""I find the thought of existing (in *nonsexual* situ",REP,-0.007998353876653187,0.054433969491529115,-0.0026926404523526875
inducefetish,--,-0.002896958646549844,0.059053649245490544,0.04542729457957035
"""I find the thought of masturbating alone as a biolo",REP,-0.0011229756046994832,-0.038768572357496485,0.004380946569022529
"""I find the thought of masturbating alone as a biolo",REP,-0.04494669936490223,0.008348333295351824,0.009441276470525818
"""If my partner is aroused by something, I can also b",LIVE,0.04281338883751737,-0.03347641616595702,0.028427651742521348
"""I am aroused by being dominant in sexual interactio",LIVE,0.008466004055987835,-0.0591621148504331,0.005190834604399754
"""I am aroused by being submissive in sexual interact",LIVE,-0.05128010596225587,0.009082692559731157,-0.016557424006020248
