outcome,r_atyp,r2_atyp,r2_six,inc_atyp,sd_atyp,inc_six,sd_six,n,six_wins,atyp_wins
animated,0.1369398426396563,0.01875252050217391,0.07616313028857624,0.0012396969731879315,0.0009624329436685317,0.058650306759590265,0.006609944351567837,4563,True,False
written,0.021519544963380398,0.0004630908154308333,0.022211235442231136,0.001410463054179134,0.0012235077794446293,0.023158607680979437,0.0044495397316935805,4563,True,False
"""I am ashamed or embarrassed about at least so",0.11483428942380566,0.013186914027470298,0.027867747093311634,0.0009389635303171939,0.001073327417684313,0.01561979659615853,0.003610344263835846,4718,True,False
"""Engaging with or fantasizing about what arous",0.10147555219842383,0.010297287693974977,0.016529263058210786,5.011555236011933e-05,0.0004466412743574759,0.006282090916595928,0.002157336798606865,4716,True,False
"""I've acted upon or experimented with all the ",0.12368659251754037,0.015298373168600277,0.019749200074704043,0.00308502683650258,0.0015791920295942711,0.0075358537426063466,0.0025868319537159443,4717,True,False
"""I sometimes find people who have clearly reac",0.14458973026297253,0.02090619009751904,0.035659498983337645,0.0005455836638770251,0.0007390499298487579,0.01529889254969563,0.0036831632111407045,4717,True,False
allrollidentity,0.07579348135615956,0.00574465181608641,0.024109800083012778,0.0001959209669259998,0.0005529787879752596,0.018561069233852368,0.0051492696917332615,3442,True,False
"""I find it erotic when two people of the oppos",0.1243794035034881,0.015470236015883376,0.04323767209235996,0.004943349552036347,0.0022228460168925647,0.03271078562851293,0.004830034618984784,4715,True,True
knowwhatarousesyou,0.086680871408014,0.007513573468052481,0.008937628952986554,0.00023522149282217963,0.0006675119480690431,0.0016592769777562522,0.0013509476526298878,4718,False,False
highenergy,-0.10701536679064101,0.011452288729335347,0.013197098464196477,0.0027778155639220925,0.0014604567052032467,0.004522625298783223,0.002160348474317683,4615,True,False
"""I find the thought of existing (in *nonsexual",0.10230802201440259,0.010466931368499632,0.014395846858152206,0.00022582693047146218,0.0006234719577972671,0.004154742420124036,0.0022686877907405643,3919,False,False
"""I find the thought of existing (in *nonsexual",0.08855971848489912,0.007842823738124727,0.009736662955984299,0.000741693891061268,0.000913096374735925,0.00263553310892084,0.0018398985339849413,3919,False,False
inducefetish,0.16612039698320047,0.027595986293855956,0.030978060580779898,0.0014706231639136647,0.0011046903938430163,0.004852697450837606,0.002248978914656858,4595,True,False
"""I find the thought of masturbating alone as a",0.008243418477207649,6.795394819036904e-05,0.013727320781825258,1.0320297909816034e-05,0.0004443492315197345,0.013669687131544705,0.003832610160380237,3919,True,False
"""I find the thought of masturbating alone as a",0.09083128847082415,0.008250322965270174,0.02039734399583759,0.0007505798166103084,0.0008534404702114402,0.012897600847177726,0.003341828256702421,3919,True,False
"""If my partner is aroused by something, I can ",0.06000902546379114,0.0036010831371139362,0.022869810405176327,0.0021196561107543754,0.0013919988932299958,0.021388383378816767,0.004324052016748092,4718,True,False
"""I am aroused by being dominant in sexual inte",0.0004329490514165791,1.8744488128330516e-07,0.04336723251858232,0.001014598953450796,0.0009083154611752351,0.044381644027151834,0.00706953651342322,4521,True,False
"""I am aroused by being submissive in sexual in",0.03807564422190242,0.0014497546829130847,0.007495907242552113,7.824771407272113e-05,0.0003913080323529352,0.00612440027371175,0.002304599664106484,4520,True,False
age,0.01155086204237587,0.0001334224139217799,0.01203554939910012,0.0009239823734444874,0.0008887847018210726,0.012826109358622828,0.0031605950965115756,4718,True,False
openness,0.030612414553342838,0.0009371199247857342,0.003721876450092365,0.00046743300649321196,0.0006111996393474829,0.003252189531799843,0.0018635739687513624,4718,False,False
conscientiousness,-0.04157594715325041,0.0017285593816898093,0.005785713360073719,0.00036772779796745425,0.0007522134207872801,0.004424881776351364,0.002084153212610933,4718,True,False
extroversion,-0.02743109658542835,0.0007524650598792482,0.016196101628122017,0.00022342920278828338,0.0005140209178753874,0.015667065771031052,0.003695154191272334,4718,True,False
neuroticism,-0.013685471012501662,0.00018729211683410352,0.00948484489463719,0.0016996061037025667,0.001151035311443652,0.010997158881505653,0.003279947406558305,4718,True,False
agreeableness,-0.06313971245924173,0.003986623289435887,0.006591133511937519,0.0023532320747226,0.0014617717182467199,0.004957742297224232,0.00224588333264544,4718,True,False
powerlessness,0.03452262674664911,0.0011918117574883924,0.009737285793752326,0.001258109540364094,0.0010866087479964055,0.009803583576628028,0.002921801568506127,4718,True,False
关系风格,0.1096813984536489,0.01203000916674779,0.01341504091550616,0.0004818464731924932,0.0006491147288619782,0.0018668782219508628,0.0014870499500515956,4718,False,False
0–14 岁被打屁股,-0.005602390641254532,3.1386780897424416e-05,0.003044561632724041,0.0013204709586320806,0.0012256998223492048,0.004333645810458697,0.002034586670846483,4716,True,False
成长期性开放度,-0.008543225738802571,7.298670602418067e-05,0.0028296728292933615,4.952739549257679e-06,0.0002613506568322327,0.0027616388628184385,0.0016737570013816228,4718,False,False
