outcome,r2_g0,r2_g1
animated,0.06356818014597809,0.08851158514658253
written,0.009121826843854874,0.02191998086721958
"""I am ashamed or embarrassed about at least ",0.031977458897910926,0.031082469392654133
"""Engaging with or fantasizing about what aro",0.025680291124107746,0.01441275544037024
"""I've acted upon or experimented with all th",0.021827836464291206,0.01723872889689393
"""I sometimes find people who have clearly re",0.018853585882405932,0.049777401232733776
allrollidentity,0.02118791083109972,0.02616572778581916
"""I find it erotic when two people of the opp",0.044275647926787065,0.025742757309611064
knowwhatarousesyou,0.008827936727755947,0.00851903520602404
highenergy,0.024163970499765042,0.009492846742172656
"""I find the thought of existing (in *nonsexu",0.016037496306791965,0.02989277461581108
"""I find the thought of existing (in *nonsexu",0.03206552339087432,0.0060709039542788945
inducefetish,0.035412895292370905,0.028688839779811848
"""I find the thought of masturbating alone as",0.02636741063116066,0.013622728536336837
"""I find the thought of masturbating alone as",0.03607941846752605,0.017813628321434183
"""If my partner is aroused by something, I ca",0.038749903588859436,0.019262896348079206
"""I am aroused by being dominant in sexual in",0.04593818321117393,0.026017498751160995
"""I am aroused by being submissive in sexual ",0.006944524220726889,0.01666691546694188
age,0.013199037392600643,0.011990995699388995
openness,0.012039968641776921,0.002027503982414136
conscientiousness,0.0041867094089266255,0.006696845528796902
extroversion,0.018547599876183707,0.018125221271216185
neuroticism,0.007064595435217869,0.0032355025736310328
agreeableness,0.00824490930485211,0.007366966514210871
powerlessness,0.011514210671085268,0.011359814605943264
关系风格,0.012199044465807551,0.018102676026443998
0–14 岁被打屁股,0.004900245206255094,0.0045918021822370925
成长期性开放度,0.0020358475579198565,0.007090456277012547
